Enumeration ID,Enum ordinal,Enum value,Enum value desc
149,1,N,"atom is not a chiral center"
149,2,E,"(E)- alkene (German$ entgegen = opposite)"
149,3,Z,"(Z)- alkene (German$ zusammen = together)"
149,4,R,"rectus - right handed configuration"
149,5,S,"sinister - left handed configuration"
149,6,pro-R,"If substituted for a higher molecular weight entity will make the attached atom an R chiral center"
149,7,pro-S,"If substituted for a higher molecular weight entity will make the attached atom an S chiral center"
150,1,N,"atom is not a chiral center"
150,2,E,"(E)- alkene (German$ entgegen = opposite)"
150,3,Z,"(Z)- alkene (German$ zusammen = together)"
150,4,R,"rectus - right handed configuration"
150,5,S,"sinister - left handed configuration"
153,1,main,"main chain of an amino acid"
153,2,side,"side chain of an amino acid"
153,3,base,"base of a nucleic acid"
153,4,phos,"phosphate of a nucleic acid"
153,5,sugar,"sugar of a nucleic acid"
153,6,none,"not appropriate for this monomer"
145,1,OECHEM,"OpenEye OECHEM library"
145,2,CACTVS,"CACTVS program library"
145,3,DAYLIGHT,"Daylight program library"
145,4,OTHER,"Other program or library"
144,1,SMILES_CANNONICAL,deprecated
144,2,SMILES_CANONICAL,"Canonical SMILES descriptor"
144,3,SMILES,"SMILES descriptor"
144,4,INCHI,"InChi descriptor"
144,5,INCHI_MAIN,"InChi descriptor- main layer"
144,6,INCHI_MAIN_FORMULA,"InChi descriptor- main layer - chemical formula sub-layer"
144,7,INCHI_MAIN_CONNECT,"InChi descriptor- main layer - atom connection sub-layer"
144,8,INCHI_MAIN_HATOM,"InChi descriptor- main layer - hydrogen atom sub-layer"
144,9,INCHI_CHARGE,"InChi descriptor- charge layer"
144,10,INCHI_STEREO,"InChi descriptor- stereochemical layer"
144,11,INCHI_ISOTOPE,"InChi descriptor- isotopic layer"
144,12,INCHI_FIXEDH,"InChi descriptor- fixed hydrogren layer"
144,13,INCHI_RECONNECT,"InChi descriptor- reconnected layer"
147,1,OECHEM,"OpenEye OECHEM program"
147,2,DAYLIGHT,"Daylight program library"
147,3,ACD,"Advanced Chemistry Development Naming Program"
147,4,AUTONOM,"Belstein AutoNom Naming Program"
147,5,OTHER,"Other program or library"
146,1,COMMON NAME,"Common chemical name"
146,2,SYSTEMATIC NAME,"Systematic chemical name"
146,3,CAS REGISTRY NUMBER,"Chemical Abstracts Registry Number"
146,4,PUBCHEM Identifier,"PubChem accession number"
146,5,PUBCHEM CID,"PubChem compound identifier"
146,6,PUBCHEM SID,"PubChem substance identifier"
146,7,MDL Identifier,"Molecular Design Limited Identifier"
131,1,L-peptide linking,enumeration_text
131,2,L-peptide NH3 amino terminus,enumeration_text
131,3,L-peptide COOH carboxy terminus,enumeration_text
131,4,D-peptide linking,enumeration_text
131,5,D-peptide NH3 amino terminus,enumeration_text
131,6,D-peptide COOH carboxy terminus,enumeration_text
131,7,DNA linking,enumeration_text
131,8,RNA linking,enumeration_text
131,9,DNA OH 5 prime terminus,enumeration_text
131,10,RNA OH 5 prime terminus,enumeration_text
131,11,DNA OH 3 prime terminus,enumeration_text
131,12,RNA OH 3 prime terminus,enumeration_text
131,13,D-saccharide 14 and 14 linking,enumeration_text
131,14,L-saccharide 14 and 14 linking,enumeration_text
131,15,D-saccharide 14 and 16 linking,enumeration_text
131,16,L-saccharide 14 and 16 linking,enumeration_text
131,17,L-saccharide,enumeration_text
131,18,D-saccharide,enumeration_text
131,19,saccharide,enumeration_text
131,20,non-polymer,enumeration_text
131,21,other,enumeration_text
142,1,Sigma,enumeration_text
142,2,Aldrich,enumeration_text
142,3,Sigma/Aldrich,enumeration_text
155,1,yes,"Yes - an aromatic bond"
155,2,no,"No  - not an aromatic bond"
156,1,E,"zusammen for together"
156,2,Z,"entgegen for opposite"
156,3,N,"none"
143,1,abbreviation,enumeration_text
143,2,name,enumeration_text
134,1,3+,enumeration_text
134,2,2+,enumeration_text
134,3,1+,enumeration_text
134,4,0,enumeration_text
134,5,1-,enumeration_text
134,6,2-,enumeration_text
134,7,3-,enumeration_text
138,1,gif,enumeration_text
138,2,jpeg,enumeration_text
138,3,pdf,enumeration_text
138,4,png,enumeration_text
138,5,ps,enumeration_text
138,6,tiff,enumeration_text
138,7,not applicable,enumeration_text
137,1,not applicable,enumeration_text
140,1,yes,enumeration_text
140,2,no,enumeration_text
139,1,yes,enumeration_text
139,2,no,enumeration_text
141,1,MSD,enumeration_text
141,2,PDBJ,enumeration_text
141,3,RCSB,enumeration_text
148,1,IUPAC,enumeration_text
148,2,CAS name,enumeration_text
148,3,CAS registry number,enumeration_text
148,4,BMRB,enumeration_text
148,5,One letter code,enumeration_text
148,6,Three letter code,enumeration_text
229,1,ppm,enumeration_text
212,1,?,enumeration_text
213,1,isotropic,enumeration_text
213,2,anisotropic,enumeration_text
205,1,methyl carbon,enumeration_text
205,2,methyl carbons,enumeration_text
205,3,methyl protons,enumeration_text
205,4,methylene protons,enumeration_text
205,5,nitrogen,enumeration_text
205,6,protons,enumeration_text
206,1,ppm,"parts per million"
206,2,Hz,Hertz
211,1,parallel,enumeration_text
211,2,perpendicular,enumeration_text
209,1,insert at center of experimental sample tube,enumeration_text
209,2,insert at outer edge of experimental sample tube,enumeration_text
209,3,insert at center of a separate sample tube,enumeration_text
209,4,insert at outer edge of a separate sample tube,enumeration_text
209,5,separate tube (no insert) similar to the experimental sample tube,enumeration_text
209,6,separate tube (no insert) not similar to the experimental sample tube,enumeration_text
209,7,other,enumeration_text
210,1,cylindrical,enumeration_text
210,2,spherical,enumeration_text
210,3,other,enumeration_text
204,1,DSS,"H; C; and N methyl protons"
204,2,TSP,"H; C; and N methyl protons"
204,3,water,"H protons"
204,4,DMSO,"H methyl protons"
204,5,DMSO-d5,"H methyl proton"
204,6,DMSO-d6,"H methyl deuterons"
204,7,methanol,"H methyl protons"
204,8,TMS,"H methyl protons"
204,9,acetate,"C methyl carbons"
204,10,dioxane,"C methylene carbons"
204,11,ammonium chloride,"N ammonium nitrogen"
204,12,[15N] ammonium chloride,"N ammonium nitrogen"
204,13,ammonium hydroxide,"N ammonium nitrogen"
204,14,ammonium nitrate,"N ammonium nitrogen"
204,15,[15N] ammonium nitrate,"N ammonium nitrogen"
204,16,[15N 15N] ammonium nitrate,"N ammonium nitrogen"
204,17,ammonium nitrite,"N ammonium nitrogen"
204,18,ammonium sulfate,"N ammonium nitrogen"
204,19,[15N] ammonium sulfate,"N ammonium nitrogen"
204,20,liquid anhydrous ammonia,"N ammonium nitrogen"
204,21,formamide,"N ammonium nitrogen"
204,22,[15N] nitric acid,"N nitrogen"
204,23,Nitromethane,"N nitro group"
204,24,[15N] nitromethane,"N nitro group"
204,25,urea,"N nitrogen"
204,26,phosphoric acid,"P phosphate"
204,27,phosphoric acid (85%),"P phosphate"
204,28,TMP,"P phosphate"
204,29,cadmium perchlorate,"Cd cadmium"
207,1,internal,enumeration_text
207,2,external,enumeration_text
207,3,na,enumeration_text
208,1,direct,enumeration_text
208,2,indirect,enumeration_text
200,1,no,enumeration_text
200,2,yes,enumeration_text
200,3,yes with IUPAC referencing,enumeration_text
201,1,no,enumeration_text
201,2,yes,enumeration_text
201,3,yes with IUPAC referencing,enumeration_text
203,1,no,enumeration_text
203,2,yes,enumeration_text
202,1,no,enumeration_text
202,2,yes,enumeration_text
202,3,yes with IUPAC referencing,enumeration_text
199,1,no,enumeration_text
199,2,yes,enumeration_text
199,3,yes with IUPAC referencing,enumeration_text
232,1,empirical,enumeration_text
232,2,ab initio,enumeration_text
232,3,semi-empirical,enumeration_text
235,1,1H,enumeration_text
235,2,13C,enumeration_text
235,3,15N,enumeration_text
235,4,31P,enumeration_text
233,1,GIAO,"Gauge-Independent Atomic Orbital"
233,2,IGLO,enumeration_text
233,3,CSGT,"Continuous Set of Gauge Transformations"
234,1,B3LYP,enumeration_text
234,2,MP2,enumeration_text
180,1,?,enumeration_text
179,1,?,enumeration_text
177,1,?,enumeration_text
178,1,?,enumeration_text
77,1,entry citation,enumeration_text
77,2,reference citation,enumeration_text
80,1,Not known,enumeration_text
80,2,Arch. Biochem. Biophys.,enumeration_text
80,3,Biochemistry,enumeration_text
80,4,Biochem. Biophys. Res. Commun.,enumeration_text
80,5,Biochem. J.,enumeration_text
80,6,Biochim. Biophys. Acta,enumeration_text
80,7,Biomol. NMR Assignments,enumeration_text
80,8,Biophys. J.,enumeration_text
80,9,Biopolymers,enumeration_text
80,10,Cell,enumeration_text
80,11,EMBO J.,enumeration_text
80,12,Eur. J. Biochem.,enumeration_text
80,13,FEBS Lett.,enumeration_text
80,14,Inorg. Chem.,enumeration_text
80,15,Int. J. Pept. Protein Res.,enumeration_text
80,16,J. Am. Chem. Soc.,enumeration_text
80,17,J. Biochem.,enumeration_text
80,18,J. Biol. Chem.,enumeration_text
80,19,J. Biol. Inorg. Chem.,enumeration_text
80,20,J. Biomol. NMR,enumeration_text
80,21,J. Biomol. Struct. Dyn.,enumeration_text
80,22,J. Inorg. Biochem.,enumeration_text
80,23,J. Magn. Reson.,enumeration_text
80,24,J. Mol. Biol.,enumeration_text
80,25,J. Pept. Res.,enumeration_text
80,26,J. Protein Chem.,enumeration_text
80,27,Mol. Cell,enumeration_text
80,28,Nature,enumeration_text
80,29,Nat. Struct. Biol.,enumeration_text
80,30,Nucleic Acids Res.,enumeration_text
80,31,Proc. Natl. Acad. Sci. U.S.A.,enumeration_text
80,32,Protein Eng.,enumeration_text
80,33,Proteins,enumeration_text
80,34,Protein Sci.,enumeration_text
80,35,Proteins: Struct. Funct. Genet.,enumeration_text
80,36,RNA,enumeration_text
80,37,Science,enumeration_text
80,38,Structure,enumeration_text
80,39,Structure (Cambridge MA U.S.),enumeration_text
78,1,in preparation,enumeration_text
78,2,submitted,enumeration_text
78,3,in press,enumeration_text
78,4,published,enumeration_text
78,5,retracted,enumeration_text
79,1,journal,enumeration_text
79,2,book,enumeration_text
79,3,book chapter,enumeration_text
79,4,thesis,enumeration_text
79,5,abstract,enumeration_text
79,6,personal communication,enumeration_text
79,7,internet,enumeration_text
79,8,BMRB only,enumeration_text
81,1,Sr.,Senior
81,2,Jr.,Junior
81,3,I,First
81,4,II,Second
81,5,III,Third
81,6,IV,Fourth
82,1,Sr.,Senior
82,2,Jr.,Junior
82,3,I,First
82,4,II,Second
82,5,III,Third
82,6,IV,Fourth
314,1,?,enumeration_text
315,1,DGSA-distance geometry simulated annealing,enumeration_text
315,2,distance geometry,enumeration_text
315,3,simulated annealing,enumeration_text
315,4,molecular dynamics,enumeration_text
315,5,matrix relaxation,enumeration_text
315,6,torsion angle dynamics,enumeration_text
316,1,?,enumeration_text
317,1,isotropic,enumeration_text
317,2,anisotropic,enumeration_text
317,3,solid,enumeration_text
309,1,yes,enumeration_text
309,2,no,enumeration_text
307,1,yes,enumeration_text
307,2,no,enumeration_text
308,1,yes,enumeration_text
308,2,no,enumeration_text
310,1,all calculated structures submitted,enumeration_text
310,2,back calculated data agree with experimental NOESY spectrum,enumeration_text
310,3,structures with the lowest energy,enumeration_text
310,4,structures with the least restraint violations,enumeration_text
310,5,structures with acceptable covalent geometry,enumeration_text
310,6,structures with favorable non-bond energy,enumeration_text
310,7,target function,enumeration_text
311,1,closest to the average,enumeration_text
311,2,lowest energy,enumeration_text
311,3,fewest violations,enumeration_text
311,4,minimized average,enumeration_text
312,1,yes,enumeration_text
312,2,no,enumeration_text
313,1,yes,enumeration_text
313,2,no,enumeration_text
334,1,Not applicable,enumeration_text
334,2,NOE,enumeration_text
334,3,NOE buildup,enumeration_text
334,4,NOE not seen,enumeration_text
334,5,general distance,enumeration_text
334,6,alignment tensor,enumeration_text
334,7,chirality,enumeration_text
334,8,prochirality,enumeration_text
334,9,disulfide bond,enumeration_text
334,10,hydrogen bond,enumeration_text
334,11,symmetry,enumeration_text
334,12,ROE,enumeration_text
334,13,peptide,enumeration_text
334,14,ring,enumeration_text
333,1,distance,enumeration_text
333,2,dipolar coupling,enumeration_text
333,3,protein dihedral angle,enumeration_text
333,4,nucleic acid dihedral angle,enumeration_text
333,5,coupling constant,enumeration_text
333,6,chemical shift,enumeration_text
333,7,other angle,enumeration_text
333,8,chemical shift anisotropy,enumeration_text
333,9,hydrogen exchange,enumeration_text
333,10,line broadening,enumeration_text
333,11,pseudocontact shift,enumeration_text
333,12,intervector projection angle,enumeration_text
333,13,protein peptide planarity,enumeration_text
333,14,protein other kinds of constraints,enumeration_text
333,15,nucleic acid base planarity,enumeration_text
333,16,nucleic acid other kinds of constraints,enumeration_text
335,1,ambi,enumeration_text
335,2,simple,enumeration_text
331,1,yes,enumeration_text
331,2,no,enumeration_text
330,1,calculated over all distance constraints,enumeration_text
330,2,calculated for distance violations only,enumeration_text
324,1,Tryptophan ring proton NOE intensities,enumeration_text
324,2,Glycine alpha proton NOE intensities,enumeration_text
325,1,yes,enumeration_text
325,2,no,enumeration_text
326,1,r-6,enumeration_text
326,2,r-3,enumeration_text
326,3,sum,enumeration_text
326,4,center,enumeration_text
327,1,Tryptophan ring proton NOE intensities,enumeration_text
327,2,Glycine alpha proton NOE intensities,enumeration_text
328,1,yes,enumeration_text
328,2,no,enumeration_text
329,1,r-6,enumeration_text
329,2,r-3,enumeration_text
329,3,sum,enumeration_text
329,4,center,enumeration_text
332,1,yes,enumeration_text
332,2,no,enumeration_text
323,1,yes,enumeration_text
323,2,no,enumeration_text
64,1,Dr.,enumeration_text
64,2,Prof.,enumeration_text
64,3,Mr.,enumeration_text
64,4,Ms.,enumeration_text
64,5,Mrs.,enumeration_text
66,1,academic,enumeration_text
66,2,commercial,enumeration_text
66,3,government,enumeration_text
66,4,other,enumeration_text
65,1,principal investigator,enumeration_text
65,2,responsible scientist,enumeration_text
65,3,investigator,enumeration_text
218,1,?,enumeration_text
219,1,isotropic,enumeration_text
219,2,anisotropic,enumeration_text
219,3,solid,enumeration_text
217,1,400,enumeration_text
217,2,500,enumeration_text
217,3,600,enumeration_text
217,4,700,enumeration_text
217,5,750,enumeration_text
217,6,800,enumeration_text
217,7,850,enumeration_text
217,8,900,enumeration_text
217,9,920,enumeration_text
217,10,950,enumeration_text
217,11,1000,enumeration_text
286,1,?,enumeration_text
287,1,isotropic,enumeration_text
287,2,anisotropic,enumeration_text
287,3,solid,enumeration_text
285,1,s-1,enumeration_text
285,2,ms-1,enumeration_text
285,3,us-1,enumeration_text
289,1,?,enumeration_text
290,1,isotropic,enumeration_text
290,2,anisotropic,enumeration_text
290,3,solid,enumeration_text
288,1,s-1,enumeration_text
288,2,ms-1,enumeration_text
288,3,us-1,enumeration_text
230,1,?,enumeration_text
231,1,isotropic,enumeration_text
231,2,anisotropic,enumeration_text
231,3,solid,enumeration_text
73,1,assigned_chemical_shifts,enumeration_text
73,2,coupling_constants,enumeration_text
73,3,spectral_peak_list,enumeration_text
73,4,other_data_list,enumeration_text
73,5,RDCs,enumeration_text
73,6,order_parameters,enumeration_text
73,7,dipolar_couplings,enumeration_text
73,8,spectral_density_values,enumeration_text
73,9,H_exch_rates,enumeration_text
73,10,H_exch_protection_factors,enumeration_text
73,11,pKa_value_data_set,enumeration_text
73,12,pH_NMR_param_list,enumeration_text
73,13,binding_constants,enumeration_text
73,14,D_H_fractionation_factors,enumeration_text
73,15,molecular_axis_determinations,enumeration_text
73,16,deduced_secd_struct_features,enumeration_text
73,17,deduced_hydrogen_bonds,enumeration_text
73,18,representative_conformer,enumeration_text
73,19,conformer_family_coord_set,enumeration_text
73,20,general_relaxation,enumeration_text
73,21,heteronucl_T1_relaxation,enumeration_text
73,22,heteronucl_T1rho_relaxation,enumeration_text
73,23,heteronucl_T2_relaxation,enumeration_text
73,24,heteronucl_NOEs,enumeration_text
73,25,homonucl_NOEs,enumeration_text
73,26,dipole_dipole_relaxation,enumeration_text
73,27,dipole_dipole_cross_correlation_relaxation,enumeration_text
73,28,CSA_CSA_cross_correlation_relaxation,enumeration_text
73,29,dipole_CSA_cross_correlation_relaxation,enumeration_text
74,1,1H chemical shifts,enumeration_text
74,2,2H chemical shifts,enumeration_text
74,3,3H chemical shifts,enumeration_text
74,4,13C chemical shifts,enumeration_text
74,5,15N chemical shifts,enumeration_text
74,6,31P chemical shifts,enumeration_text
74,7,111Cd chemical shifts,enumeration_text
74,8,113Cd chemical shifts,enumeration_text
74,9,coupling constants,enumeration_text
74,10,chemical shift isotope effects,enumeration_text
74,11,molecule interaction chemical shift values,enumeration_text
74,12,T1 relaxation values,enumeration_text
74,13,T1rho relaxation values,enumeration_text
74,14,T2 relaxation values,enumeration_text
74,15,dipole-dipole relaxation values,enumeration_text
74,16,cross correlation relaxation values,enumeration_text
74,17,chemical shift anisotropy values,enumeration_text
74,18,chemical shift anisotropy tensor values,enumeration_text
74,19,quadrupolar couplings,enumeration_text
74,20,theoretical chemical shifts,enumeration_text
74,21,chemical shift tensors,enumeration_text
74,22,residual dipolar couplings,enumeration_text
74,23,dipolar coupling values,enumeration_text
74,24,dipolar coupling tensor values,enumeration_text
74,25,heteronuclear NOE values,enumeration_text
74,26,homonuclear NOE values,enumeration_text
74,27,order parameters,enumeration_text
74,28,spectral density values,enumeration_text
74,29,H exchange rates,enumeration_text
74,30,H exchange protection factors,enumeration_text
74,31,pKa values,enumeration_text
74,32,pH NMR parameter values,enumeration_text
74,33,binding constants,enumeration_text
74,34,D/H fractionation factors,enumeration_text
74,35,bond orientation values,enumeration_text
74,36,deduced secondary structure values,enumeration_text
74,37,deduced hydrogen bonds,enumeration_text
74,38,Distance constraints,enumeration_text
74,39,ambiguous distance constraints,enumeration_text
74,40,hydrogen bond distance constraints,enumeration_text
74,41,torsion angle constraints,enumeration_text
74,42,chemical shift constraints,enumeration_text
74,43,symmetry constraints,enumeration_text
305,1,?,enumeration_text
306,1,isotropic,enumeration_text
306,2,anisotropic,enumeration_text
306,3,solid,enumeration_text
303,1,?,enumeration_text
304,1,isotropic,enumeration_text
304,2,anisotropic,enumeration_text
304,3,solid,enumeration_text
38,1,mmCIF,enumeration_text
38,2,PDB,enumeration_text
39,1,ARIA,enumeration_text
39,2,CNS,enumeration_text
39,3,CYANA,enumeration_text
39,4,DISCOVER,enumeration_text
39,5,X-PLOR,enumeration_text
40,1,yes,enumeration_text
40,2,no,enumeration_text
41,1,yes,enumeration_text
41,2,no,enumeration_text
299,1,?,enumeration_text
300,1,isotropic,enumeration_text
300,2,anisotropic,enumeration_text
300,3,solid,enumeration_text
238,1,?,enumeration_text
239,1,isotropic,enumeration_text
239,2,anisotropic,enumeration_text
239,3,solid,enumeration_text
283,1,?,enumeration_text
284,1,isotropic,enumeration_text
284,2,anisotropic,enumeration_text
284,3,solid,enumeration_text
282,1,s-1,enumeration_text
282,2,ms-1,enumeration_text
282,3,us-1,enumeration_text
351,1,?,enumeration_text
352,1,isotropic,enumeration_text
352,2,anisotropic,enumeration_text
352,3,solid,enumeration_text
350,1,NOE,"Distance constraints determined from NOE experiments"
350,2,NOE build-up,"Distance constraints determined from a series of NOE experiments with different mixing times"
350,3,NOE not seen,"Distance constraints supplied when an expected NOE was not observed"
350,4,ROE,"Distance constraints determined from ROE experiments"
350,5,ROE build-up,"Distance constraints determine from a series of ROE experiments with different mixing times"
350,6,hydrogen bond,"Hydrogen bond distance constraints"
350,7,disulfide bond,"Disulfide bond distance constraints"
350,8,paramagnetic relaxation,"Distance constraints determined from paramagnetic relaxation studies"
350,9,symmetry,"Distance constraint enforces symmetry - for example to enforce symmetry between monomers in a multimer"
350,10,general distance,"Specific distance constraint is not known"
353,1,averaging method,enumeration_text
353,2,number monomers,enumeration_text
353,3,pseudoatom corrections,enumeration_text
353,4,potential function,enumeration_text
353,5,temperature,enumeration_text
353,6,exponent,enumeration_text
353,7,switch distance,enumeration_text
353,8,asymptote slope,enumeration_text
353,9,B_high,enumeration_text
353,10,ceiling,enumeration_text
353,11,negative offset,enumeration_text
353,12,scaling constant,enumeration_text
90,1,yes,enumeration_text
90,2,no,enumeration_text
92,1,yes,enumeration_text
92,2,no,enumeration_text
93,1,yes,enumeration_text
93,2,no,enumeration_text
110,1,yes,"polymer contains at least one monomer with different chirality"
110,2,no,"polymer contains no monomers with different chirality"
109,1,yes,enumeration_text
109,2,no,enumeration_text
105,1,protein,enumeration_text
105,2,DNA,enumeration_text
105,3,RNA,enumeration_text
105,4,DNA/RNA hybrid,enumeration_text
105,5,polysaccharide,enumeration_text
106,1,polypeptide(L),enumeration_text
106,2,polydeoxyribonucleotide,DNA
106,3,polyribonucleotide,RNA
106,4,DNA/RNA hybrid,enumeration_text
106,5,polypeptide(D),enumeration_text
106,6,polysaccharide(D),enumeration_text
106,7,polysaccharide(L),enumeration_text
113,1,all disulfide bound,enumeration_text
113,2,all other bound,enumeration_text
113,3,all free,enumeration_text
113,4,not present,enumeration_text
113,5,not available,enumeration_text
113,6,unknown,enumeration_text
113,7,not reported,enumeration_text
113,8,free and disulfide bound,enumeration_text
113,9,free and other bound,enumeration_text
113,10,free disulfide and other bound,enumeration_text
113,11,disulfide and other bound,enumeration_text
104,1,polymer,"A biological polymer (protein$ peptide$ nucleic acid$ etc.)"
104,2,non-polymer,"Ligand$ metal ion$ or other non-polymeric molecule"
104,3,water,enumeration_text
104,4,aggregate,enumeration_text
104,5,solvent,enumeration_text
91,1,native,enumeration_text
91,2,denatured,enumeration_text
91,3,molten globule,enumeration_text
91,4,unfolded,enumeration_text
91,5,intrinsically disordered,enumeration_text
115,1,BMRB,enumeration_text
115,2,DBJ,enumeration_text
115,3,EMBL,enumeration_text
115,4,GB,enumeration_text
115,5,NDB,enumeration_text
115,6,PDB,enumeration_text
115,7,PIR,enumeration_text
115,8,PRF,enumeration_text
115,9,REF,enumeration_text
115,10,SP,enumeration_text
115,11,UNP,enumeration_text
116,1,solution NMR,enumeration_text
116,2,solid-state NMR,enumeration_text
116,3,X-ray crystallography,enumeration_text
128,1,Escherichia coli,enumeration_text
128,2,Aspergillus niger,enumeration_text
128,3,Cricetulus griseus,enumeration_text
128,4,Desulfovibrio desulfuricans,enumeration_text
128,5,Pichia pastoris,enumeration_text
128,6,Saccharomyces cerevisiae,enumeration_text
128,7,Spodoptera frugiperda,enumeration_text
128,8,wheat germ - cell free,enumeration_text
128,9,E. coli - cell free,enumeration_text
127,1,recombinant technology,enumeration_text
127,2,purified from the natural source,enumeration_text
127,3,chemical synthesis,enumeration_text
127,4,cell free synthesis,enumeration_text
127,5,enzymatic semisynthesis,enumeration_text
127,6,reverse transcriptase,enumeration_text
127,7,obtained from a vendor,enumeration_text
129,1,plasmid,enumeration_text
129,2,baculovirus,enumeration_text
129,3,other virus,enumeration_text
129,4,cosmid,enumeration_text
119,1,yes,enumeration_text
119,2,no,enumeration_text
107,1,yes,enumeration_text
107,2,no,enumeration_text
108,1,yes,enumeration_text
108,2,no,enumeration_text
111,1,yes,enumeration_text
111,2,no,enumeration_text
112,1,yes,enumeration_text
112,2,no,enumeration_text
114,1,yes,enumeration_text
114,2,no,enumeration_text
122,1,Metazoa,enumeration_text
122,2,Fungi,enumeration_text
122,3,Viridiplantae,enumeration_text
122,4,Protista,enumeration_text
122,5,Not applicable,enumeration_text
118,1,organism,enumeration_text
118,2,virus,enumeration_text
118,3,plasmid,enumeration_text
118,4,cosmid,enumeration_text
118,5,no natural source,enumeration_text
118,6,not applicable,enumeration_text
123,1,brain,enumeration_text
123,2,heart,enumeration_text
123,3,intestine,enumeration_text
123,4,kidney,enumeration_text
123,5,liver,enumeration_text
123,6,lung,enumeration_text
123,7,pancreas,enumeration_text
123,8,skin,enumeration_text
123,9,testicle,enumeration_text
125,1,chloroplast,enumeration_text
125,2,endoplamic reticulum,enumeration_text
125,3,golgi,enumeration_text
125,4,mitochondria,enumeration_text
125,5,nucleus,enumeration_text
120,1,Homo sapiens,enumeration_text
120,2,Escherichia coli,enumeration_text
120,3,Mus musculus,enumeration_text
120,4,Rattus norvegicus,enumeration_text
120,5,Saccharomyces cerevisiae,enumeration_text
120,6,Bos taurus,enumeration_text
120,7,Bos primigenius,enumeration_text
120,8,Gallus gallus,enumeration_text
120,9,Maleagris gallopavo,enumeration_text
120,10,Drosophila melanogaster,enumeration_text
