Order of operation,Sf category,Tag category,Tag,Override view value,Conditional tag category,Conditional tag,Override value
880,NMR_spectral_processing,NMR_spectral_proc_software,_NMR_spectral_proc_software.Software_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
890,NMR_spectral_processing,NMR_spectral_proc_software,_NMR_spectral_proc_software.Software_label,N,Entry_interview,_Entry_interview.Structural_genomics,yes
900,NMR_spectral_processing,NMR_spectral_proc_software,_NMR_spectral_proc_software.Method_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
910,NMR_spectral_processing,NMR_spectral_proc_software,_NMR_spectral_proc_software.Method_label,N,Entry_interview,_Entry_interview.Structural_genomics,yes
920,NMR_spectral_processing,NMR_spectral_proc_software,_NMR_spectral_proc_software.Sf_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
930,NMR_spectral_processing,NMR_spectral_proc_software,_NMR_spectral_proc_software.Entry_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
940,NMR_spectral_processing,NMR_spectral_proc_software,_NMR_spectral_proc_software.NMR_spectral_processing_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
950,NMR_spectral_processing,Spectral_processing_param,_Spectral_processing_param.ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
960,NMR_spectral_processing,Spectral_processing_param,_Spectral_processing_param.Processing_dimension_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
970,NMR_spectral_processing,Spectral_processing_param,_Spectral_processing_param.Name,H,Entry_interview,_Entry_interview.Structural_genomics,yes
980,NMR_spectral_processing,Spectral_processing_param,_Spectral_processing_param.Val,H,Entry_interview,_Entry_interview.Structural_genomics,yes
990,NMR_spectral_processing,Spectral_processing_param,_Spectral_processing_param.Sf_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
1000,NMR_spectral_processing,Spectral_processing_param,_Spectral_processing_param.Entry_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
1010,NMR_spectral_processing,Spectral_processing_param,_Spectral_processing_param.NMR_spectral_processing_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
1020,assigned_chemical_shifts,Chem_shift_experiment,_Chem_shift_experiment.Experiment_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
1030,assigned_chemical_shifts,Chem_shift_experiment,_Chem_shift_experiment.Experiment_name,Y,Entry_interview,_Entry_interview.Structural_genomics,yes
1040,assigned_chemical_shifts,Chem_shift_experiment,_Chem_shift_experiment.Sample_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
1050,assigned_chemical_shifts,Chem_shift_experiment,_Chem_shift_experiment.Sample_label,H,Entry_interview,_Entry_interview.Structural_genomics,yes
1060,assigned_chemical_shifts,Chem_shift_experiment,_Chem_shift_experiment.Sample_state,H,Entry_interview,_Entry_interview.Structural_genomics,yes
1070,assigned_chemical_shifts,Chem_shift_experiment,_Chem_shift_experiment.Sf_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
1080,assigned_chemical_shifts,Chem_shift_experiment,_Chem_shift_experiment.Entry_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
1090,assigned_chemical_shifts,Chem_shift_experiment,_Chem_shift_experiment.Assigned_chem_shift_list_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
1100,assigned_chemical_shifts,Chem_shift_software,_Chem_shift_software.Software_label,Y,Entry_interview,_Entry_interview.Structural_genomics,yes
1110,entry_information,Entry,_Entry.Dep_release_code_nmr_constraints,H,Entry_interview,_Entry_interview.Constraints,yes
1120,citations,Citation,_Citation.Journal_abbrev,Y,Citation,_Citation.Type,journal
1130,citations,Citation,_Citation.Journal_name_full,H,Citation,_Citation.Type,journal
1140,citations,Citation,_Citation.Journal_volume,N,Citation,_Citation.Type,journal
1150,citations,Citation,_Citation.Journal_issue,N,Citation,_Citation.Type,journal
1160,citations,Citation,_Citation.Journal_ASTM,H,Citation,_Citation.Type,journal
1170,citations,Citation,_Citation.Journal_ISSN,H,Citation,_Citation.Type,journal
1180,citations,Citation,_Citation.Journal_CSD,H,Citation,_Citation.Type,journal
1190,citations,Citation,_Citation.Book_title,Y,Citation,_Citation.Type,(book)|(book chapter)
1200,citations,Citation,_Citation.Book_chapter_title,Y,Citation,_Citation.Type,(book)|(book chapter)
1210,citations,Citation,_Citation.Book_volume,N,Citation,_Citation.Type,(book)|(book chapter)
1220,citations,Citation,_Citation.Book_series,N,Citation,_Citation.Type,(book)|(book chapter)
1230,citations,Citation,_Citation.Book_publisher,Y,Citation,_Citation.Type,(book)|(book chapter)
1240,citations,Citation,_Citation.Book_publisher_city,Y,Citation,_Citation.Type,(book)|(book chapter)
1250,citations,Citation,_Citation.Book_ISBN,H,Citation,_Citation.Type,(book)|(book chapter)
1260,citations,Citation,_Citation.Conference_title,Y,Citation,_Citation.Type,abstract
1270,citations,Citation,_Citation.Conference_site,Y,Citation,_Citation.Type,abstract
1280,citations,Citation,_Citation.Conference_state_province,Y,Citation,_Citation.Type,abstract
1290,citations,Citation,_Citation.Conference_country,Y,Citation,_Citation.Type,abstract
1300,citations,Citation,_Citation.Conference_start_date,Y,Citation,_Citation.Type,abstract
1310,citations,Citation,_Citation.Conference_end_date,Y,Citation,_Citation.Type,abstract
1320,citations,Citation,_Citation.Conference_abstract_number,Y,Citation,_Citation.Type,abstract
1330,citations,Citation,_Citation.Thesis_institution,Y,Citation,_Citation.Type,thesis
1340,citations,Citation,_Citation.Thesis_institution_city,Y,Citation,_Citation.Type,thesis
1350,citations,Citation,_Citation.Thesis_institution_country,Y,Citation,_Citation.Type,thesis
1361,citations,Citation,_Citation.Journal_abbrev,H,Citation,_Citation.Type,internet
1362,citations,Citation,_Citation.Journal_name_full,H,Citation,_Citation.Type,internet
1363,citations,Citation,_Citation.Journal_volume,H,Citation,_Citation.Type,internet
1364,citations,Citation,_Citation.Journal_issue,H,Citation,_Citation.Type,internet
1365,citations,Citation,_Citation.Journal_ASTM,H,Citation,_Citation.Type,internet
1366,citations,Citation,_Citation.Journal_ISSN,H,Citation,_Citation.Type,internet
1367,citations,Citation,_Citation.Journal_CSD,H,Citation,_Citation.Type,internet
1368,citations,Citation,_Citation.Book_title,H,Citation,_Citation.Type,internet
1369,citations,Citation,_Citation.Book_chapter_title,H,Citation,_Citation.Type,internet
1370,citations,Citation,_Citation.Book_volume,H,Citation,_Citation.Type,internet
1371,citations,Citation,_Citation.Book_series,H,Citation,_Citation.Type,internet
1372,citations,Citation,_Citation.Book_publisher,H,Citation,_Citation.Type,internet
1373,citations,Citation,_Citation.Book_publisher_city,H,Citation,_Citation.Type,internet
1374,citations,Citation,_Citation.Book_ISBN,H,Citation,_Citation.Type,internet
1375,citations,Citation,_Citation.Conference_title,H,Citation,_Citation.Type,internet
1376,citations,Citation,_Citation.Conference_site,H,Citation,_Citation.Type,internet
1377,citations,Citation,_Citation.Conference_state_province,H,Citation,_Citation.Type,internet
1378,citations,Citation,_Citation.Conference_country,H,Citation,_Citation.Type,internet
1379,citations,Citation,_Citation.Conference_start_date,H,Citation,_Citation.Type,internet
1380,citations,Citation,_Citation.Conference_end_date,H,Citation,_Citation.Type,internet
1381,citations,Citation,_Citation.Conference_abstract_number,H,Citation,_Citation.Type,internet
1382,citations,Citation,_Citation.Thesis_institution,H,Citation,_Citation.Type,internet
1383,citations,Citation,_Citation.Thesis_institution_city,H,Citation,_Citation.Type,internet
1384,citations,Citation,_Citation.Thesis_institution_country,H,Citation,_Citation.Type,internet
1390,citations,Citation,_Citation.WWW_URL,Y,Citation,_Citation.Type,internet
1395,citations,Citation,_Citation.Page_first,N,Citation,_Citation.Type,*
1400,citations,Citation,_Citation.Page_last,N,Citation,_Citation.Type,*
1405,citations,Citation,_Citation.Year,N,Citation,_Citation.Type,*
1410,citations,Citation,_Citation.Details,N,Citation,_Citation.Type,*
1411,citations,Citation,_Citation.Page_first,H,Citation,_Citation.Type,personal communication
1412,citations,Citation,_Citation.Page_last,H,Citation,_Citation.Type,personal communication
1491,citations,*,*,H,Citation,_Citation.PubMed_ID,*
1492,citations,Citation,_Citation.Name,Y,Citation,_Citation.PubMed_ID,*
1493,citations,Citation,_Citation.Class,Y,Citation,_Citation.PubMed_ID,*
1494,citations,Citation,_Citation.PubMed_ID,Y,Citation,_Citation.PubMed_ID,*
1500,citations,Citation_keyword,_Citation_keyword.Keyword,N,Citation,_Citation.Type,*
1510,citations,Citation_keyword,_Citation_keyword.Sf_ID,H,Citation,_Citation.Type,*
1520,citations,Citation_keyword,_Citation_keyword.Entry_ID,H,Citation,_Citation.Type,*
1530,citations,Citation_keyword,_Citation_keyword.Citation_ID,H,Citation,_Citation.Type,*
1540,citations,Citation_editor,_Citation_editor.Ordinal,H,Citation,_Citation.Type,(book)|(book chapter)
1550,citations,Citation_editor,_Citation_editor.Given_name,Y,Citation,_Citation.Type,(book)|(book chapter)
1560,citations,Citation_editor,_Citation_editor.Family_name,Y,Citation,_Citation.Type,(book)|(book chapter)
1570,citations,Citation_editor,_Citation_editor.First_initial,H,Citation,_Citation.Type,(book)|(book chapter)
1580,citations,Citation_editor,_Citation_editor.Middle_initials,N,Citation,_Citation.Type,(book)|(book chapter)
1590,citations,Citation_editor,_Citation_editor.Family_title,N,Citation,_Citation.Type,(book)|(book chapter)
1600,citations,Citation_editor,_Citation_editor.Sf_ID,H,Citation,_Citation.Type,*
1610,citations,Citation_editor,_Citation_editor.Entry_ID,H,Citation,_Citation.Type,*
1620,citations,Citation_editor,_Citation_editor.Citation_ID,H,Citation,_Citation.Type,*
1630,assembly,Bond,_Bond.ID,Y,Assembly,_Assembly.Non_standard_bonds,yes
1640,assembly,Bond,_Bond.Type,Y,Assembly,_Assembly.Non_standard_bonds,yes
1650,assembly,Bond,_Bond.Value_order,Y,Assembly,_Assembly.Non_standard_bonds,yes
1660,assembly,Bond,_Bond.Auth_entity_assembly_name_1,Y,Assembly,_Assembly.Non_standard_bonds,yes
1670,assembly,Bond,_Bond.Auth_seq_ID_1,Y,Assembly,_Assembly.Non_standard_bonds,yes
1680,assembly,Bond,_Bond.Auth_comp_ID_1,Y,Assembly,_Assembly.Non_standard_bonds,yes
1690,assembly,Bond,_Bond.Auth_atom_ID_1,Y,Assembly,_Assembly.Non_standard_bonds,yes
1700,assembly,Bond,_Bond.Auth_entity_assembly_name_2,Y,Assembly,_Assembly.Non_standard_bonds,yes
1710,assembly,Bond,_Bond.Auth_seq_ID_2,Y,Assembly,_Assembly.Non_standard_bonds,yes
1720,assembly,Bond,_Bond.Auth_comp_ID_2,Y,Assembly,_Assembly.Non_standard_bonds,yes
1730,assembly,Bond,_Bond.Auth_atom_ID_2,Y,Assembly,_Assembly.Non_standard_bonds,yes
1780,entity,Entity,_Entity.Polymer_common_type,H,Entity,_Entity.Type,polymer
1790,entity,Entity,_Entity.Polymer_type,Y,Entity,_Entity.Type,polymer
1810,entity,Entity,_Entity.Polymer_seq_one_letter_code_can,H,Entity,_Entity.Type,polymer
1820,entity,Entity,_Entity.Polymer_seq_one_letter_code,Y,Entity,_Entity.Type,polymer
1830,entity,Entity,_Entity.Polymer_author_defined_seq,N,Entity,_Entity.Type,polymer
1840,entity,Entity,_Entity.Polymer_author_seq_details,N,Entity,_Entity.Type,polymer
1850,entity,Entity,_Entity.Ambiguous_chem_comp_sites,H,Entity,_Entity.Type,non-polymer
1860,entity,Entity,_Entity.Nstd_monomer,H,Entity,_Entity.Type,non-polymer
1870,entity,Entity,_Entity.Number_of_monomers,H,Entity,_Entity.Type,polymer
1880,entity,Entity,_Entity.EC_number,H,Entity,_Entity.Type,non-polymer
1890,entity,Entity,_Entity.Formula_weight,H,Entity,_Entity.Type,non-polymer
1900,entity,Entity,_Entity.Formula_weight_exptl,H,Entity,_Entity.Type,non-polymer
1910,entity,Entity,_Entity.Formula_weight_exptl_meth,H,Entity,_Entity.Type,non-polymer
1920,entity,Entity_db_link,_Entity_db_link.Author_supplied,H,Entity,_Entity.Type,non-polymer
1930,entity,Entity_db_link,_Entity_db_link.Database_code,H,Entity,_Entity.Type,non-polymer
1940,entity,Entity_db_link,_Entity_db_link.Accession_code,H,Entity,_Entity.Type,non-polymer
1950,entity,Entity_db_link,_Entity_db_link.Entry_mol_code,H,Entity,_Entity.Type,non-polymer
1960,entity,Entity_db_link,_Entity_db_link.Entry_mol_name,H,Entity,_Entity.Type,non-polymer
1970,entity,Entity_db_link,_Entity_db_link.Entry_experimental_method,H,Entity,_Entity.Type,non-polymer
1980,entity,Entity_db_link,_Entity_db_link.Entry_structure_resolution,H,Entity,_Entity.Type,non-polymer
1990,entity,Entity_db_link,_Entity_db_link.Entry_relation_type,H,Entity,_Entity.Type,non-polymer
2000,entity,Entity_db_link,_Entity_db_link.Entry_details,H,Entity,_Entity.Type,non-polymer
2010,entity,Entity_db_link,_Entity_db_link.Chimera_segment_ID,H,Entity,_Entity.Type,non-polymer
2020,entity,Entity_db_link,_Entity_db_link.Seq_query_to_submitted_percent,H,Entity,_Entity.Type,non-polymer
2030,entity,Entity_db_link,_Entity_db_link.Seq_subject_length,H,Entity,_Entity.Type,non-polymer
2040,entity,Entity_db_link,_Entity_db_link.Seq_identity,H,Entity,_Entity.Type,non-polymer
2050,entity,Entity_db_link,_Entity_db_link.Seq_positive,H,Entity,_Entity.Type,non-polymer
2060,entity,Entity_db_link,_Entity_db_link.Seq_homology_expectation_val,H,Entity,_Entity.Type,non-polymer
2070,entity,Entity_db_link,_Entity_db_link.Seq_align_begin,H,Entity,_Entity.Type,non-polymer
2080,entity,Entity_db_link,_Entity_db_link.Seq_align_end,H,Entity,_Entity.Type,non-polymer
2090,entity,Entity_db_link,_Entity_db_link.Seq_difference_details,H,Entity,_Entity.Type,non-polymer
2100,entity,Entity_db_link,_Entity_db_link.Seq_alignment_details,H,Entity,_Entity.Type,non-polymer
2110,entity,Entity_db_link,_Entity_db_link.Sf_ID,H,Entity,_Entity.Type,non-polymer
2120,entity,Entity_db_link,_Entity_db_link.Entry_ID,H,Entity,_Entity.Type,non-polymer
2130,entity,Entity_db_link,_Entity_db_link.Entity_ID,H,Entity,_Entity.Type,non-polymer
2140,entity,Entity_common_name,_Entity_common_name.Name,H,Entity,_Entity.Type,non-polymer
2150,entity,Entity_common_name,_Entity_common_name.Type,H,Entity,_Entity.Type,non-polymer
2160,entity,Entity_common_name,_Entity_common_name.Sf_ID,H,Entity,_Entity.Type,non-polymer
2170,entity,Entity_common_name,_Entity_common_name.Entry_ID,H,Entity,_Entity.Type,non-polymer
2180,entity,Entity_common_name,_Entity_common_name.Entity_ID,H,Entity,_Entity.Type,non-polymer
2190,entity,Entity_systematic_name,_Entity_systematic_name.Name,H,Entity,_Entity.Type,non-polymer
2200,entity,Entity_systematic_name,_Entity_systematic_name.Naming_system,H,Entity,_Entity.Type,non-polymer
2210,entity,Entity_systematic_name,_Entity_systematic_name.Sf_ID,H,Entity,_Entity.Type,non-polymer
2220,entity,Entity_systematic_name,_Entity_systematic_name.Entry_ID,H,Entity,_Entity.Type,non-polymer
2230,entity,Entity_systematic_name,_Entity_systematic_name.Entity_ID,H,Entity,_Entity.Type,non-polymer
2240,entity,Entity_keyword,_Entity_keyword.Keyword,H,Entity,_Entity.Type,non-polymer
2250,entity,Entity_keyword,_Entity_keyword.Sf_ID,H,Entity,_Entity.Type,non-polymer
2260,entity,Entity_keyword,_Entity_keyword.Entry_ID,H,Entity,_Entity.Type,non-polymer
2270,entity,Entity_keyword,_Entity_keyword.Entity_ID,H,Entity,_Entity.Type,non-polymer
2280,entity,Entity_chimera_segment,_Entity_chimera_segment.Comp_index_ID_begin,H,Entity,_Entity.Type,non-polymer
