dictionarySeq,originalCategory,aditCatManFlg,aditCatViewType,aditSuperCatID,aditSuperCatName,aditCatGrpID,aditCatViewName,aditInitialRows,originalTag,aditExists,aditViewFlgs,enumeratedFlg,itemEnumClosedFlg,aditItemViewName,aditFormCode,dbType,bmrbType,dbNullable,internalFlg,rowIndexFlg,lclIDFlg,lclSfIdFlg,sfIdFlg,sfLabelFlg,sfCategoryFlg,sfFramecodeFlg,primaryKey,foreignKeyGroup,foreignTable,foreignColumn,indexFlg,dbTableName,dbColumnName,tagCategory,tagField,loopFlg,seq,dbFlg,validateFlgs,valOverideFlgs,defaultValue,bmrbPdbMatchId,bmrbPdbTransFunc,variableTypeMatch,entryIdFlg,OutputMapExistsFlg,aditAutoInsert,datumCountFlgs,metaDataFlgs,tagDeleteFlgs,RefKeyGroup,RefTable,RefColumn,example
100,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Ligands,Y,HHYYY,Y,Y,Ligands,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,Ligands,Entry_interview,Ligands,N,100,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
110,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Non_standard_residues,Y,HHYYY,Y,Y,Non standard residues,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,NonStandardResidues,Entry_interview,Non_standard_residues,N,110,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
120,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Constraints,Y,HHHHH,Y,Y,Constraints,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,Constraints,Entry_interview,Constraints,N,120,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
130,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Assigned_chem_shifts,Y,HHHHH,Y,Y,Assigned chem shifts,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,AssignedChemShifts,Entry_interview,Assigned_chem_shifts,N,130,Y,IVIVIV,IIIIII,?,?,?,,N,?,0,?,Y,N,?,?,?,?
140,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Coupling_constants,Y,HHHHH,Y,Y,Coupling constants,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,CouplingConstants,Entry_interview,Coupling_constants,N,140,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
150,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Chem_shift_anisotropy,Y,HHHHH,Y,Y,Chem shift anisotropy,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,ChemShiftAnisotropy,Entry_interview,Chem_shift_anisotropy,N,150,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
160,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Heteronucl_NOEs,Y,HHHHH,Y,Y,Heteronucl NOEs,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,HeteronuclNOEs,Entry_interview,Heteronucl_NOEs,N,160,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
170,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Heteronucl_T1_relaxation,Y,HHHHH,Y,Y,Heteronucl T1 relaxation,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,HeteronuclT1Relaxation,Entry_interview,Heteronucl_T1_relaxation,N,170,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
180,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Heteronucl_T2_relaxation,Y,HHHHH,Y,Y,Heteronucl T2 relaxation,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,HeteronuclT2Relaxation,Entry_interview,Heteronucl_T2_relaxation,N,180,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
190,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Heteronucl_T1rho_relaxation,Y,HHHHH,Y,Y,Heteronucl T1rho relaxation,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,HeteronuclT1rhoRelaxation,Entry_interview,Heteronucl_T1rho_relaxation,N,190,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
200,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Order_parameters,Y,HHHHH,Y,Y,Order parameters,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,OrderParameters,Entry_interview,Order_parameters,N,200,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
210,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Residual_dipolar_couplings,Y,HHHHH,Y,Y,Residual dipolar couplings,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,ResidualDipolarCouplings,Entry_interview,Residual_dipolar_couplings,N,210,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
220,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.H_exchange_rate,Y,HHHHH,Y,Y,H exchange rate,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,HExchangeRate,Entry_interview,H_exchange_rate,N,220,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
230,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.H_exchange_protection_factors,Y,HHHHH,Y,Y,H exchange protection factors,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,HExchangeProtectionFactors,Entry_interview,H_exchange_protection_factors,N,230,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
240,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Spectral_peak_lists,Y,HHHHH,Y,Y,Spectral peak lists,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,SpectralPeakLists,Entry_interview,Spectral_peak_lists,N,240,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
250,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Dipole_dipole_couplings,Y,HHHHH,Y,Y,Dipole dipole couplings,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,DipoleDipoleCouplings,Entry_interview,Dipole_dipole_couplings,N,250,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
260,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Quadrupolar_couplings,Y,HHHHH,Y,Y,Quadrupolar couplings,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,QuadrupolarCouplings,Entry_interview,Quadrupolar_couplings,N,260,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
270,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Homonucl_NOEs,Y,HHHHH,Y,Y,Homonucl NOEs,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,HomonuclNOEs,Entry_interview,Homonucl_NOEs,N,270,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
280,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Dipole_dipole_relaxation,Y,HHHHH,Y,Y,Dipole dipole relaxation,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,DipoleDipoleRelaxation,Entry_interview,Dipole_dipole_relaxation,N,280,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
290,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.DD_cross_correlation,Y,HHHHH,Y,Y,DD cross correlation,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,DDCrossCorrelation,Entry_interview,DD_cross_correlation,N,290,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
300,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Dipole_CSA_cross_correlation,Y,HHHHH,Y,Y,Dipole CSA cross correlation,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,DipoleCSACrossCorrelation,Entry_interview,Dipole_CSA_cross_correlation,N,300,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
310,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.PKa_value_data_set,Y,HHHHH,Y,Y,PKa value data set,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,PKaValueDataSet,Entry_interview,PKa_value_data_set,N,310,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
320,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.D_H_fractionation_factors,Y,HHHHH,Y,Y,D H fractionation factors,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,DHFractionationFactors,Entry_interview,D_H_fractionation_factors,N,320,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
330,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Theoretical_chem_shifts,Y,HHHHH,Y,Y,Theoretical chem shifts,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,TheoreticalChemShifts,Entry_interview,Theoretical_chem_shifts,N,330,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
340,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Spectral_density_values,Y,HHHHH,Y,Y,Spectral density values,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,SpectralDensityValues,Entry_interview,Spectral_density_values,N,340,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
350,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Timedomain_data,Y,HHHHH,Y,Y,Timedomain data,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,TimedomainData,Entry_interview,Timedomain_data,N,350,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
360,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Molecular_interactions,Y,HHHHH,Y,Y,Molecular interactions,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,MolecularInteractions,Entry_interview,Molecular_interactions,N,360,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
370,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Secondary_structure_orientations,Y,HHHHH,Y,Y,Secondary structure orientations,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,SecondaryStructureOrientations,Entry_interview,Secondary_structure_orientations,N,370,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
380,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Metabolite_coordinates,Y,HHHHH,Y,Y,Metabolite coordinates,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,MetaboliteCoordinates,Entry_interview,Metabolite_coordinates,N,380,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
390,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Mass_spec_data,Y,HHHHH,Y,Y,Mass spec data,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,MassSpecData,Entry_interview,Mass_spec_data,N,390,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
400,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Other_kind_of_data,Y,HHHHH,Y,Y,Other kind of data,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,OtherKindOfData,Entry_interview,Other_kind_of_data,N,400,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
410,deposited_data_files,N,R,1,entry_information,9,Deposited data files,,_Deposited_data_files.Sf_category,Y,HHHHH,N,,Sf category,0,VARCHAR(127),code,NOT NULL,Y,N,?,?,N,N,Y,N,,,,,,DepositedDataFiles,SfCategory,Deposited_data_files,Sf_category,N,410,Y,IVIVIV,IIIIII,?,?,?,,N,?,1,?,Y,N,?,?,?,?
420,deposited_data_files,N,R,1,entry_information,9,Deposited data files,,_Deposited_data_files.Sf_framecode,Y,HHHHH,N,,Sf framecode,0,VARCHAR(127),framecode,NOT NULL,Y,N,?,?,N,Y,N,N,,,,,,DepositedDataFiles,SfFramecode,Deposited_data_files,Sf_framecode,N,420,Y,IVIVIV,IIIIII,?,?,?,,N,?,2,?,Y,N,?,?,?,?
430,deposited_data_files,N,R,1,entry_information,9,Deposited data files,,_Deposited_data_files.Entry_ID,Y,HHHHH,N,,Entry ID,0,CHAR(12),code,NOT NULL,Y,N,Y,?,N,N,N,N,Y,,Entry,ID,,DepositedDataFiles,EntryID,Deposited_data_files,Entry_ID,N,430,Y,IVIVIV,IIIIII,?,?,?,,Y,?,3,?,Y,N,1,Entry,ID,?
440,deposited_data_files,N,R,1,entry_information,9,Deposited data files,,_Deposited_data_files.Sf_ID,Y,HHHHH,N,,Sf ID,0,INTEGER,int,NOT NULL,Y,N,?,?,Y,N,N,N,,,,,,DepositedDataFiles,SfID,Deposited_data_files,Sf_ID,N,440,Y,IIIIII,IIIIII,?,?,?,,N,?,4,?,Y,N,?,?,?,?
450,deposited_data_files,N,R,1,entry_information,9,Deposited data files,,_Deposited_data_files.ID,Y,HHHHH,N,,ID,0,INTEGER,int,NOT NULL,Y,N,Y,Y,N,N,N,N,Y,,,,,DepositedDataFiles,DepositedDataFilesID,Deposited_data_files,ID,N,450,Y,IVIVIV,IIIIII,?,?,?,,N,?,5,?,Y,N,?,?,?,?
460,deposited_data_files,N,R,1,entry_information,9,Deposited data files,,_Deposited_data_files.Atomic_coordinate_file_name,Y,NHHHH,N,,Atomic coordinate file name,1,VARCHAR(127),line,,Y,N,?,?,N,N,N,N,,,,,,DepositedDataFiles,AtomicCoordinateFileName,Deposited_data_files,Atomic_coordinate_file_name,N,460,Y,IOIOIO,IIIIII,?,?,?,,N,?,0,?,Y,N,?,?,?,?
470,deposited_data_files,N,R,1,entry_information,9,Deposited data files,,_Deposited_data_files.Atomic_coordinate_file_syntax,Y,NHHHH,Y,N,Atomic coordinate file syntax,1,VARCHAR(127),line,,Y,N,?,?,N,N,N,N,,,,,,DepositedDataFiles,AtomicCoordinateFileSyntax,Deposited_data_files,Atomic_coordinate_file_syntax,N,470,Y,IOIOIO,IIIIII,?,?,?,,N,?,0,?,Y,N,?,?,?,?
480,deposited_data_files,N,R,1,entry_information,9,Deposited data files,,_Deposited_data_files.Constraint_file_name,Y,NHHHH,N,,Constraint file name,1,VARCHAR(127),line,,Y,N,?,?,N,N,N,N,,,,,,DepositedDataFiles,ConstraintFileName,Deposited_data_files,Constraint_file_name,N,480,Y,IOIOIO,IIIIII,?,?,?,,N,?,0,?,Y,N,?,?,?,?
490,deposited_data_files,N,R,1,entry_information,9,Deposited data files,,_Deposited_data_files.Constraint_file_syntax,Y,NHHHH,Y,N,Constraint file syntax,1,VARCHAR(127),line,,Y,N,?,?,N,N,N,N,,,,,,DepositedDataFiles,ConstraintFileSyntax,Deposited_data_files,Constraint_file_syntax,N,490,Y,IOIOIO,IIIIII,?,?,?,,N,?,0,?,Y,N,?,?,?,?
500,deposited_data_files,N,R,1,entry_information,9,Deposited data files,,_Deposited_data_files.Precheck_flag,Y,HHHHH,Y,Y,Precheck flag,1,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,DepositedDataFiles,PrecheckFlag,Deposited_data_files,Precheck_flag,N,500,Y,IOIOIO,IIIIII,?,?,?,,N,?,0,?,Y,N,?,?,?,?
510,deposited_data_files,N,R,1,entry_information,9,Deposited data files,,_Deposited_data_files.Validate_flag,Y,HHHHH,Y,Y,Validate flag,1,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,DepositedDataFiles,ValidateFlag,Deposited_data_files,Validate_flag,N,510,Y,IOIOIO,IIIIII,?,?,?,,N,?,0,?,Y,N,?,?,?,?
520,deposited_data_files,N,T6,1,entry_information,9,Upload data,,_Upload_data.Data_file_ID,Y,HHHHH,N,,Data file ID,0,INTEGER,int,NOT NULL,Y,Y,Y,?,N,N,N,N,Y,,,,,UploadData,DataFileID,Upload_data,Data_file_ID,Y,10,Y,IVIVIV,IIIIII,?,?,?,,N,?,6,?,Y,N,?,?,?,?
530,deposited_data_files,N,T6,1,entry_information,9,Upload data,,_Upload_data.Data_file_name,Y,NHHHH,N,,Data file name,1,VARCHAR(127),line,NOT NULL,Y,N,?,?,N,N,N,N,,,,,,UploadData,DataFileName,Upload_data,Data_file_name,Y,20,Y,IVIVIV,IIIIII,?,?,?,,N,?,0,?,Y,N,?,?,?,?
540,deposited_data_files,N,T6,1,entry_information,9,Upload data,,_Upload_data.Data_file_Sf_category,Y,NHHHH,Y,Y,Data file Sf category,1,VARCHAR(127),code,,Y,N,?,?,N,N,N,N,,,,,,UploadData,DataFileSfCategory,Upload_data,Data_file_Sf_category,Y,30,Y,IVIVIV,IIIIII,?,?,?,,N,?,0,?,Y,N,?,?,?,?
550,deposited_data_files,N,T6,1,entry_information,9,Upload data,,_Upload_data.Data_file_syntax,Y,NHHHH,Y,N,Data file syntax,1,VARCHAR(127),line,,Y,N,?,?,N,N,N,N,,,,,,UploadData,DataFileSyntax,Upload_data,Data_file_syntax,Y,40,Y,IVIVIV,IIIIII,?,?,?,,N,?,0,?,Y,N,?,?,?,?
560,deposited_data_files,N,T6,1,entry_information,9,Upload data,,_Upload_data.Sf_ID,Y,HHHHH,N,,Sf ID,0,INTEGER,int,NOT NULL,Y,N,?,?,Y,N,N,N,,,Deposited_data_files,Sf_ID,,UploadData,SfID,Upload_data,Sf_ID,Y,50,Y,IIIIII,IIIIII,?,?,?,,N,?,4,?,Y,N,9,Deposited_data_files,Sf_ID,?
570,deposited_data_files,N,T6,1,entry_information,9,Upload data,,_Upload_data.Entry_ID,Y,HHHHH,N,,Entry ID,0,CHAR(12),code,NOT NULL,Y,N,?,?,N,N,N,N,Y,,Deposited_data_files,Entry_ID,,UploadData,EntryID,Upload_data,Entry_ID,Y,60,Y,IVIVIV,VVVVVV,?,?,?,,Y,?,3,?,Y,N,10,Deposited_data_files,Entry_ID,?
580,deposited_data_files,N,T6,1,entry_information,9,Upload data,,_Upload_data.Deposited_data_files_ID,Y,HHHHH,N,,Deposited data files ID,0,INTEGER,int,NOT NULL,Y,N,Y,Y,N,N,N,N,Y,,Deposited_data_files,ID,,UploadData,DepositedDataFilesID,Upload_data,Deposited_data_files_ID,Y,70,Y,IVIVIV,IIIIII,?,?,?,,N,?,5,?,Y,N,10,Deposited_data_files,ID,?
590,study_list,Y,R,1,entry_information,10,Study list,,_Study_list.Sf_category,Y,HHHHH,N,,Sf category,0,VARCHAR(127),code,NOT NULL,,N,?,?,N,N,Y,N,,,,,,StudyList,SfCategory,Study_list,Sf_category,N,520,Y,MMMMMM,MMMMMM,?,?,?,,N,?,1,?,Y,N,?,?,?,?
600,study_list,Y,R,1,entry_information,10,Study list,,_Study_list.Sf_framecode,Y,HHHHH,N,,Sf framecode,0,VARCHAR(127),framecode,NOT NULL,,N,?,?,N,Y,N,N,,,,,,StudyList,SfFramecode,Study_list,Sf_framecode,N,530,Y,IMIMIM,IIIIII,?,?,?,,N,?,2,?,Y,N,?,?,?,?
610,study_list,Y,R,1,entry_information,10,Study list,,_Study_list.Entry_ID,Y,HHHHH,N,,Entry ID,0,CHAR(12),code,NOT NULL,,N,Y,?,N,N,N,N,Y,,Entry,ID,,StudyList,EntryID,Study_list,Entry_ID,N,540,Y,MMMMMM,MMMMMM,?,?,?,,Y,?,3,?,Y,N,1,Entry,ID,?
620,study_list,Y,R,1,entry_information,10,Study list,,_Study_list.Sf_ID,Y,HHHHH,N,,Sf ID,0,INTEGER,int,NOT NULL,Y,N,?,?,Y,N,N,N,,,,,,StudyList,SfID,Study_list,Sf_ID,N,550,Y,IIIIII,IIIIII,?,?,?,,N,?,4,?,Y,N,?,?,?,?
630,study_list,Y,R,1,entry_information,10,Study list,,_Study_list.ID,Y,HHHHH,N,,ID,0,INTEGER,int,NOT NULL,,N,Y,Y,N,N,N,N,Y,,,,,StudyList,StudyListID,Study_list,ID,N,560,Y,MMMMMM,MMMMMM,?,?,?,,N,?,5,?,Y,N,?,?,?,?
640,study_list,Y,T6,1,entry_information,10,Study,,_Study.ID,Y,HHHHH,N,,ID,1,INTEGER,int,NOT NULL,,N,Y,?,N,N,N,N,Y,,,,,Study,StudyID,Study,ID,Y,10,Y,MMMMMM,MMMMMM,?,?,?,,N,?,0,?,Y,N,?,?,?,?
650,study_list,Y,T6,1,entry_information,10,Study,,_Study.Name,Y,NHHHH,N,,Name,1,TEXT,text,NOT NULL,,N,?,?,N,N,N,N,,,,,,Study,Name,Study,Name,Y,20,Y,MMMMMM,MMMMMM,?,?,?,,N,?,0,?,Y,N,?,?,?,?
660,study_list,Y,T6,1,entry_information,10,Study,,_Study.Type,Y,HHHHH,Y,N,Type,1,VARCHAR(127),line,,,N,?,?,N,N,N,N,,,,,,Study,Type,Study,Type,Y,30,Y,MMMMMM,MMMMMM,?,?,?,,N,?,0,?,Y,N,?,?,?,?
670,study_list,Y,T6,1,entry_information,10,Study,,_Study.Details,Y,NHHHH,N,,Details,2,TEXT,text,,,N,?,?,N,N,N,N,,,,,,Study,Details,Study,Details,Y,40,Y,OOOOOO,OOOOOO,?,?,?,,N,?,0,?,Y,N,?,?,?,?
680,study_list,Y,T6,1,entry_information,10,Study,,_Study.Sf_ID,Y,HHHHH,N,,Sf ID,0,INTEGER,int,NOT NULL,Y,N,?,?,Y,N,N,N,,,Study_list,Sf_ID,,Study,SfID,Study,Sf_ID,Y,50,Y,IIIIII,IIIIII,?,?,?,,N,?,4,?,Y,N,9,Study_list,Sf_ID,?
690,study_list,Y,T6,1,entry_information,10,Study,,_Study.Entry_ID,Y,HHHHH,N,,Entry ID,0,CHAR(12),code,NOT NULL,,N,?,?,N,N,N,N,Y,,Study_list,Entry_ID,,Study,EntryID,Study,Entry_ID,Y,60,Y,MMMMMM,VVVVVV,?,?,?,,Y,?,3,?,Y,N,10,Study_list,Entry_ID,?
