Dictionary sequence,SFCategory,ADIT category mandatory,ADIT category view type,ADIT super category ID,ADIT super category,ADIT category group ID,ADIT category view name,Tag,BMRB current,BMRB next release,Discussion List,SG Mandatory,,ADIT exists,User full view,User structure view,User non-structure view,User NMR param. View,Annotator full view,Item enumerated,Item enumeration closed,Enum parent SFcategory,Enum parent tag,Derived enumeration mantable,Derived enumeration,ADIT item view name,Data Type,Nullable,Non-public,ManDBTableName,ManDBColumnName,Row Index Key,Saveframe ID tag,Source Key,Table Primary Key,Foreign Key Group,Foreign Table,Foreign Column,Secondary index,Sub category,Units,Loopflag,Seq,Adit initial rows,Enumeration ties,Mandatory code overides,Overide value,Overide view value,ADIT auto insert,Example,Prompt,Interface,bmrbPdbMatchID,bmrbPdbTransFunc,STAR flag,DB flag,SfLabelFlg,Sf category flag,Framecode value flag,Natural primary key,Natural foreign key,Redundant keys,Parent tag,public,internal,small molecule,small molecule,metabolomics,metabolomics,Overide public,internal,small molecule,small molecule,metabolomic,metabolomic,default value,Adit form code,Tag category,Tag field,Local key,Datum count flag,pdbx equivalent,mmCIF equivalent,Meta data,Tag delete,BMRB data type,STAR vs Curated DB,Key group,Reference table,Reference column,Dictionary description,variableTypeMatch,entryIdFlg,outputMapExistsFlg,lclSfIdFlg,Met ADIT category view name,Met Example,Met Prompt,Met Description,SM Struct ADIT-NMR category view name,SM Struct Example,SM Struct Prompt,SM Struct Description,Met default value,SM default value
80,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.View_mode,,,,,,Y,Y,H,H,H,H,Y,Y,,,,,View mode,VARCHAR(15),,Y,EntryInterview,ViewMode,N,N,,,,,,,,,N,80,,,,,,0,PDB,</td><td colspan='99'></td></tr><tr style='height:6em; vertical-align:middle;'><td class=category_cell_mandatory_label>Start a PDB deposition or a BMRB deposition first,The 'view mode' buttons are used to select between a view of the PDB or the BMRB deposition requirements. The majority of the information you enter will apply to both a PDB and a BMRB deposition. When in the PDB view mode$ a deposition can be submitted to PDB and when in the BMRB view mode$ a deposition can be submitted to BMRB.,?,?,Y,Y,N,N,N,N,?,?,?,I,V,I,V,I,V,I,I,I,I,I,I,?,4,Entry_interview,View_mode,?,?,?,?,Y,N,code,,?,?,?,The 'view mode' buttons are used to select between a view of the PDB or the BMRB deposition requirements. The majority of the information you enter will apply to both a PDB and a BMRB deposition. When in the PDB view mode$ a deposition can be submitted to PDB and when in the BMRB view mode$ a deposition can be submitted to BMRB.,,N,?,?,Entry interview,PDB,</td><td colspan='99'></td></tr><tr style='height:6em; vertical-align:middle;'><td class=category_cell_mandatory_label>Start a PDB deposition or a BMRB deposition first,The 'view mode' buttons are used to select between a view of the PDB or the BMRB deposition requirements. The majority of the information you enter will apply to both a PDB and a BMRB deposition. When in the PDB view mode$ a deposition can be submitted to PDB and when in the BMRB view mode$ a deposition can be submitted to BMRB.,Entry interview,PDB,</td><td colspan='99'></td></tr><tr style='height:6em; vertical-align:middle;'><td class=category_cell_mandatory_label>Start a PDB deposition or a BMRB deposition first,The 'view mode' buttons are used to select between a view of the PDB or the BMRB deposition requirements. The majority of the information you enter will apply to both a PDB and a BMRB deposition. When in the PDB view mode$ a deposition can be submitted to PDB and when in the BMRB view mode$ a deposition can be submitted to BMRB.,?,?
90,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Structural_genomics,,M,,,,Y,H,H,H,H,H,Y,Y,,,,,Structural genomics,VARCHAR(3),,Y,EntryInterview,StructuralGenomics,N,N,,,,,,,,,N,90,,,,,,0,no,</td><td colspan='99'></tr><tr><td>This submission is from a structural genomics project,Check the box provided$ if the deposition is originating from one of the structural genomics projects funded around the world. By checking this box$ a number of additional data will be required in the deposition.,?,?,Y,Y,N,N,N,N,?,?,?,I,V,I,V,I,V,I,I,I,I,I,I,no,5,Entry_interview,Structural_genomics,?,?,?,?,Y,N,yes_no,,?,?,?,Flag indicating if the deposition originates from a structural genomics project.,,N,?,?,Entry interview,no,</td><td colspan='99'></tr><tr><td>This submission is from a structural genomics project,Check the box provided$ if the deposition is originating from one of the structural genomics projects funded around the world. By checking this box$ a number of additional data will be required in the deposition.,Entry interview,no,</td><td colspan='99'></tr><tr><td>This submission is from a structural genomics project,Check the box provided$ if the deposition is originating from one of the structural genomics projects funded around the world. By checking this box$ a number of additional data will be required in the deposition.,no,no
100,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Ligands,,M,,,,Y,H,H,Y,Y,Y,Y,Y,,,,,Ligands,VARCHAR(3),,Y,EntryInterview,Ligands,N,N,,,,,,,,,N,100,,,,,,0,yes,The system contains a metal and/or a non-polymeric organic ligand,Check this box if the molecular system that was studied contained ligands either metal ions or organic compounds.,?,?,Y,Y,N,N,N,N,?,?,?,I,V,I,V,I,V,I,I,I,I,I,I,no,5,Entry_interview,Ligands,?,?,?,?,Y,N,yes_no,,?,?,?,Flag indicating the presence of ligands$ metal ions$ or other small molecules in the molecular system studied.,,N,?,?,Entry interview,yes,The system contains a metal and/or a non-polymeric organic ligand,Check this box if the molecular system that was studied contained ligands either metal ions or organic compounds.,Entry interview,yes,The system contains a metal and/or a non-polymeric organic ligand,Check this box if the molecular system that was studied contained ligands either metal ions or organic compounds.,no,?
110,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Non_standard_residues,,M,,,,Y,H,H,Y,Y,Y,Y,Y,,,,,Non standard residues,VARCHAR(3),,Y,EntryInterview,NonStandardResidues,N,N,,,,,,,,,N,110,,,,,,0,no,At least one biopolymer contains a non-standard residue,Check this box if any of the biopolymers in the molecular system studied contained non-standard amino acid residues or nucleotides. This includes chemically modified residues such as phosphorylated amino acids.,?,?,Y,Y,N,N,N,N,?,?,?,I,V,I,V,I,V,I,I,I,I,I,I,no,5,Entry_interview,Non_standard_residues,?,?,?,?,Y,N,yes_no,,?,?,?,Flag indicating the presence of non-standard residues in one or more biopolymers in the molecular system studied.,,N,?,?,Entry interview,no,At least one biopolymer contains a non-standard residue,Check this box if any of the biopolymers in the molecular system studied contained non-standard amino acid residues or nucleotides. This includes chemically modified residues such as phosphorylated amino acids.,Entry interview,no,At least one biopolymer contains a non-standard residue,Check this box if any of the biopolymers in the molecular system studied contained non-standard amino acid residues or nucleotides. This includes chemically modified residues such as phosphorylated amino acids.,no,?
120,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Constraints,,M,,,,Y,H,H,H,H,H,Y,Y,,,,,Constraints,VARCHAR(3),,Y,EntryInterview,Constraints,N,N,,,,,,,,,N,120,,,,,,0,yes,Structural constraints (restraint data),Check this box$ if you are depositing constraints used to calculate a three-dimensional structure for the molecular assembly.  With this box checked$ after clicking on the 'Save Changes' button$ you will be asked to enter additional information regarding the data submitted. Files containing the data sets should be uploaded by filling out the form found by clicking on the 'Deposit data files' link in the frame on the left of the screen.,?,?,Y,Y,N,N,N,N,?,?,?,I,V,I,V,I,V,I,I,I,I,I,I,no,5,Entry_interview,Constraints,?,?,?,?,Y,N,yes_no,,?,?,?,Flag indicating that structural constraints are being deposited.,,N,?,?,Entry interview,yes,Structural constraints (restraint data),Check this box$ if you are depositing constraints used to calculate a three-dimensional structure for the molecular assembly.  With this box checked$ after clicking on the 'Save Changes' button$ you will be asked to enter additional information regarding the data submitted. Files containing the data sets should be uploaded by filling out the form found by clicking on the 'Deposit data files' link in the frame on the left of the screen.,Entry interview,yes,Structural constraints (restraint data),Check this box$ if you are depositing constraints used to calculate a three-dimensional structure for the molecular assembly.  With this box checked$ after clicking on the 'Save Changes' button$ you will be asked to enter additional information regarding the data submitted. Files containing the data sets should be uploaded by filling out the form found by clicking on the 'Deposit data files' link in the frame on the left of the screen.,no,no
130,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Assigned_chem_shifts,,M,,,,Y,H,H,H,H,H,Y,Y,,,,,Assigned chem shifts,VARCHAR(3),,Y,EntryInterview,AssignedChemShifts,N,N,,,,,,,,,N,130,,,,,,0,yes,<p align='left'><FONT COLOR='#000000'><BR>You are strongly encouraged to deposit any of the following kinds of data.</p></td><td colspan='99'></tr><tr><td class='category_cell_mandatory_label'>Assigned NMR chemical shifts,Check this box$ if you are depositing one or more sets of assigned chemical shifts for the reported molecular assembly.  If you have just started a deposition$ after clicking on the 'Save Changes' button$ you will be asked to upload the appropriate data files and later enter additional information regarding the data submitted. At anytime during a deposition session$ data containing files can be uploaded by filling out the form found by clicking on 'Entry information' and then the 'Deposit data files' link in the frame on the left of the screen.,?,?,Y,Y,N,N,N,N,?,?,?,I,V,I,V,I,V,I,I,I,I,I,I,?,5,Entry_interview,Assigned_chem_shifts,?,?,?,?,Y,N,yes_no,,?,?,?,Flag indicating that assigned chemical shifts are being deposited.,,N,?,?,Entry interview,yes,<p align='left'><FONT COLOR='#000000'><BR>You are strongly encouraged to deposit any of the following kinds of data.</p></td><td colspan='99'></tr><tr><td class='category_cell_mandatory_label'>Assigned NMR chemical shifts,Check this box$ if you are depositing one or more sets of assigned chemical shifts for the reported molecular assembly.  If you have just started a deposition$ after clicking on the 'Save Changes' button$ you will be asked to upload the appropriate data files and later enter additional information regarding the data submitted. At anytime during a deposition session$ data containing files can be uploaded by filling out the form found by clicking on 'Entry information' and then the 'Deposit data files' link in the frame on the left of the screen.,Entry interview,yes,<p align='left'><FONT COLOR='#000000'><BR>You are strongly encouraged to deposit any of the following kinds of data.</p></td><td colspan='99'></tr><tr><td class='category_cell_mandatory_label'>Assigned NMR chemical shifts,Check this box$ if you are depositing one or more sets of assigned chemical shifts for the reported molecular assembly.  If you have just started a deposition$ after clicking on the 'Save Changes' button$ you will be asked to upload the appropriate data files and later enter additional information regarding the data submitted. At anytime during a deposition session$ data containing files can be uploaded by filling out the form found by clicking on 'Entry information' and then the 'Deposit data files' link in the frame on the left of the screen.,?,?
140,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Coupling_constants,,M,,,,Y,H,H,H,H,H,Y,Y,,,,,Coupling constants,VARCHAR(3),,Y,EntryInterview,CouplingConstants,N,N,,,,,,,,,N,140,,,,,,0,no,Scalar coupling constants,Check this box$ if you are submitting one or more sets of scalar coupling (homonuclear or heteronuclear) values.  If you have just started a deposition$ after clicking on the 'Save Changes' button$ you will be asked to upload the appropriate data files and later enter additional information regarding the data submitted. At anytime during a deposition session$ data containing files can be uploaded by filling out the form found by clicking on 'Entry information' and then the 'Deposit data files' link in the frame on the left of the screen.,?,?,Y,Y,N,N,N,N,?,?,?,I,V,I,V,I,V,I,I,I,I,I,I,no,5,Entry_interview,Coupling_constants,?,?,?,?,Y,N,yes_no,,?,?,?,Flag indicating that scalar coupling constants are being deposited.,,N,?,?,Entry interview,no,Scalar coupling constants,Check this box$ if you are submitting one or more sets of scalar coupling (homonuclear or heteronuclear) values.  If you have just started a deposition$ after clicking on the 'Save Changes' button$ you will be asked to upload the appropriate data files and later enter additional information regarding the data submitted. At anytime during a deposition session$ data containing files can be uploaded by filling out the form found by clicking on 'Entry information' and then the 'Deposit data files' link in the frame on the left of the screen.,Entry interview,no,<p align='left'><FONT COLOR='#000000'><BR>You are strongly encouraged to deposit any of the following kinds of data.</p></td><td colspan='99'></tr><tr><td class='category_cell_mandatory_label'>Scalar coupling constants,Check this box$ if you are submitting one or more sets of scalar coupling (homonuclear or heteronuclear) values.  If you have just started a deposition$ after clicking on the 'Save Changes' button$ you will be asked to upload the appropriate data files and later enter additional information regarding the data submitted. At anytime during a deposition session$ data containing files can be uploaded by filling out the form found by clicking on 'Entry information' and then the 'Deposit data files' link in the frame on the left of the screen.,no,no
150,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Chem_shift_anisotropy,,M,,,,Y,H,H,H,H,H,Y,Y,,,,,Chem shift anisotropy,VARCHAR(3),,Y,EntryInterview,ChemShiftAnisotropy,N,N,,,,,,,,,N,150,,,,,,0,yes,Chemical shift anisotropy,Check this box$ if you are submitting one or more sets of chemical shift anisotropy values.  If you have just started a deposition$ after clicking on the 'Save Changes' button$ you will be asked to upload the appropriate data files and later enter additional information regarding the data submitted. At anytime during a deposition session$ data containing files can be uploaded by filling out the form found by clicking on 'Entry information' and then the 'Deposit data files' link in the frame on the left of the screen.,?,?,Y,Y,N,N,N,N,?,?,?,I,V,I,V,I,V,I,I,I,I,I,I,no,5,Entry_interview,Chem_shift_anisotropy,?,?,?,?,Y,N,yes_no,,?,?,?,Flag indicating that chemical shift anisotropy values are being deposited.,,N,?,?,Entry interview,no,?,?,Entry interview,yes,Chemical shift anisotropy,Check this box$ if you are submitting one or more sets of chemical shift anisotropy values.  If you have just started a deposition$ after clicking on the 'Save Changes' button$ you will be asked to upload the appropriate data files and later enter additional information regarding the data submitted. At anytime during a deposition session$ data containing files can be uploaded by filling out the form found by clicking on 'Entry information' and then the 'Deposit data files' link in the frame on the left of the screen.,no,no
160,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Heteronucl_NOEs,,M,,,,Y,H,H,H,H,H,Y,Y,,,,,Heteronucl NOEs,VARCHAR(3),,Y,EntryInterview,HeteronuclNOEs,N,N,,,,,,,,,N,160,,,,,,0,yes,Heteronuclear NOEs,If you are depositing one or more sets of heteronuclear NOE data$ check this box. If you have just started a deposition$ after clicking on the 'Save Changes' button$ you will be asked to upload the appropriate data files and later enter additional information regarding the data submitted. At anytime during a deposition session$ data containing files can be uploaded by filling out the form found by clicking on 'Entry information' and then the 'Deposit data files' link in the frame on the left of the screen.,?,?,Y,Y,N,N,N,N,?,?,?,I,V,I,V,I,V,I,I,I,I,I,I,no,5,Entry_interview,Heteronucl_NOEs,?,?,?,?,Y,N,yes_no,,?,?,?,Flag indicating that heteronuclear NOEs are being deposited.,,N,?,?,Entry interview,yes,Heteronuclear NOEs,If you are depositing one or more sets of heteronuclear NOE data$ check this box. If you have just started a deposition$ after clicking on the 'Save Changes' button$ you will be asked to upload the appropriate data files and later enter additional information regarding the data submitted. At anytime during a deposition session$ data containing files can be uploaded by filling out the form found by clicking on 'Entry information' and then the 'Deposit data files' link in the frame on the left of the screen.,Entry interview,yes,Heteronuclear NOEs,If you are depositing one or more sets of heteronuclear NOE data$ check this box. If you have just started a deposition$ after clicking on the 'Save Changes' button$ you will be asked to upload the appropriate data files and later enter additional information regarding the data submitted. At anytime during a deposition session$ data containing files can be uploaded by filling out the form found by clicking on 'Entry information' and then the 'Deposit data files' link in the frame on the left of the screen.,no,no
170,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Heteronucl_T1_relaxation,,M,,,,Y,H,H,H,H,H,Y,Y,,,,,Heteronucl T1 relaxation,VARCHAR(3),,Y,EntryInterview,HeteronuclT1Relaxation,N,N,,,,,,,,,N,170,,,,,,0,yes,T1 (R1) NMR relaxation data,If you are depositing T1 (R1) relaxation values$ check this box. If you have just started a deposition$ after clicking on the 'Save Changes' button$ you will be asked to upload the appropriate data files and later enter additional information regarding the data submitted. At anytime during a deposition session$ data containing files can be uploaded by filling out the form found by clicking on 'Entry information' and then the 'Deposit data files' link in the frame on the left of the screen.,?,?,Y,Y,N,N,N,N,?,?,?,I,V,I,V,I,V,I,I,I,I,I,I,no,5,Entry_interview,Heteronucl_T1_relaxation,?,?,?,?,Y,N,yes_no,,?,?,?,Flag indicating that heteronuclear T1 relaxation values are being deposited.,,N,?,?,Entry interview,yes,T1 (R1) NMR relaxation data,If you are depositing T1 (R1) relaxation values$ check this box. If you have just started a deposition$ after clicking on the 'Save Changes' button$ you will be asked to upload the appropriate data files and later enter additional information regarding the data submitted. At anytime during a deposition session$ data containing files can be uploaded by filling out the form found by clicking on 'Entry information' and then the 'Deposit data files' link in the frame on the left of the screen.,Entry interview,yes,T1 (R1) NMR relaxation data,If you are depositing T1 (R1) relaxation values$ check this box. If you have just started a deposition$ after clicking on the 'Save Changes' button$ you will be asked to upload the appropriate data files and later enter additional information regarding the data submitted. At anytime during a deposition session$ data containing files can be uploaded by filling out the form found by clicking on 'Entry information' and then the 'Deposit data files' link in the frame on the left of the screen.,no,no
180,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Heteronucl_T2_relaxation,,M,,,,Y,H,H,H,H,H,Y,Y,,,,,Heteronucl T2 relaxation,VARCHAR(3),,Y,EntryInterview,HeteronuclT2Relaxation,N,N,,,,,,,,,N,180,,,,,,0,no,T2 (R2) NMR relaxation data,Check this box$ if you are depositing one or more sets of T2 (R2) relaxation data. If you have just started a deposition$ after clicking on the 'Save Changes' button$ you will be asked to upload the appropriate data files and later enter additional information regarding the data submitted. At anytime during a deposition session$ data containing files can be uploaded by filling out the form found by clicking on 'Entry information' and then the 'Deposit data files' link in the frame on the left of the screen.,?,?,Y,Y,N,N,N,N,?,?,?,I,V,I,V,I,V,I,I,I,I,I,I,no,5,Entry_interview,Heteronucl_T2_relaxation,?,?,?,?,Y,N,yes_no,,?,?,?,Flag indicating that heteronuclear T2 relaxation values are being deposited.,,N,?,?,Entry interview,no,T2 (R2) NMR relaxation data,Check this box$ if you are depositing one or more sets of T2 (R2) relaxation data. If you have just started a deposition$ after clicking on the 'Save Changes' button$ you will be asked to upload the appropriate data files and later enter additional information regarding the data submitted. At anytime during a deposition session$ data containing files can be uploaded by filling out the form found by clicking on 'Entry information' and then the 'Deposit data files' link in the frame on the left of the screen.,Entry interview,no,T2 (R2) NMR relaxation data,Check this box$ if you are depositing one or more sets of T2 (R2) relaxation data. If you have just started a deposition$ after clicking on the 'Save Changes' button$ you will be asked to upload the appropriate data files and later enter additional information regarding the data submitted. At anytime during a deposition session$ data containing files can be uploaded by filling out the form found by clicking on 'Entry information' and then the 'Deposit data files' link in the frame on the left of the screen.,no,no
