Dictionary sequence,SFCategory,ADIT category mandatory,ADIT category view type,ADIT super category ID,ADIT super category,ADIT category group ID,ADIT category view name,Tag,BMRB current,BMRB next release,Discussion List,SG Mandatory,,ADIT exists,User full view,User structure view,User non-structure view,User NMR param. View,Annotator full view,Item enumerated,Item enumeration closed,Enum parent SFcategory,Enum parent tag,Derived enumeration mantable,Derived enumeration,ADIT item view name,Data Type,Nullable,Non-public,ManDBTableName,ManDBColumnName,Row Index Key,Saveframe ID tag,Source Key,Table Primary Key,Foreign Key Group,Foreign Table,Foreign Column,Secondary index,Sub category,Units,Loopflag,Seq,Adit initial rows,Enumeration ties,Mandatory code overides,Overide value,Overide view value,ADIT auto insert,Example,Prompt,Description,STAR-CIF link ID,STAR to CIF transform code,STAR flag,DB flag,SfLabelFlg,Sf category flag,Framecode value flag,Natural primary key,Natural foreign key,Redundant keys,Parent tag,public,internal,internal,sg/public,sg/internal,usr/public,Overide publiM,Overide internal,Overide meta,Overide sg/publiM,Overide sg/internal,Overide usr/publiM,default value,Adit form code,Tag category,Tag field,Local key,Datum count flag,pdbx equivalent,mmCIF equivalent,Meta data,Tag delete,BMRB data type
200,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Heteronucl_T1rho_relaxation,,M,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Heteronucl T1rho relaxation,VARCHAR(3),NOT NULL,Y,EntryInterview,HeteronuclT1rhoRelaxation,N,N,,,,,,,,,N,200,,,22,,,0,?,T1rho (R1rho) NMR relaxation data file(s),?,?,?,Y,Y,N,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,no,6,Entry_interview,Heteronucl_T1rho_relaxation,?,?,?,?,Y,N,uchar3
210,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Order_parameters,,M,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Order parameters,VARCHAR(3),NOT NULL,Y,EntryInterview,OrderParameters,N,N,,,,,,,,,N,210,,,15,,,0,?,Order parameter file(s),?,?,?,Y,Y,N,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,no,6,Entry_interview,Order_parameters,?,?,?,?,Y,N,uchar3
220,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Dipole_dipole_relaxation,,M,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Dipole dipole relaxation,VARCHAR(3),NOT NULL,Y,EntryInterview,DipoleDipoleRelaxation,N,N,,,,,,,,,N,220,,,25,,,0,?,Dipole-dipole relaxation file(s),?,?,?,Y,Y,N,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,no,6,Entry_interview,Dipole_dipole_relaxation,?,?,?,?,Y,N,uchar3
230,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Cross_correlation,,M,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Cross correlation,VARCHAR(3),NOT NULL,Y,EntryInterview,CrossCorrelation,N,N,,,,,,,,,N,230,,,24,,,0,?,Cross correlation file(s),?,?,?,Y,Y,N,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,no,6,Entry_interview,Cross_correlation,?,?,?,?,Y,N,uchar3
240,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.H_exchange_rate,,M,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,H exchange rate,VARCHAR(3),NOT NULL,Y,EntryInterview,HExchangeRate,N,N,,,,,,,,,N,240,,,9,,,0,?,Hydrogen exchange rate file(s),?,?,?,Y,Y,N,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,no,6,Entry_interview,H_exchange_rate,?,?,?,?,Y,N,uchar3
250,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.H_exchange_protection_factors,,M,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,H exchange protection factors,VARCHAR(3),NOT NULL,Y,EntryInterview,HExchangeProtectionFactors,N,N,,,,,,,,,N,250,,,8,,,0,?,Hydrogen exchange protection file(s),?,?,?,Y,Y,N,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,no,6,Entry_interview,H_exchange_protection_factors,?,?,?,?,Y,N,uchar3
260,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.PKa_value_data_set,,M,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,PKa value data set,VARCHAR(3),NOT NULL,Y,EntryInterview,PKaValueDataSet,N,N,,,,,,,,,N,260,,,11,,,0,?,NMR-derived pH transitions (pKa's) file(s),?,?,?,Y,Y,N,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,no,6,Entry_interview,PKa_value_data_set,?,?,?,?,Y,N,uchar3
270,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.D_H_fractionation_factors,,M,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,D H fractionation factors,VARCHAR(3),NOT NULL,Y,EntryInterview,DHFractionationFactors,N,N,,,,,,,,,N,270,,,7,,,0,?,NMR-derived D/H fractination factor file(s),?,?,?,Y,Y,N,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,no,6,Entry_interview,D_H_fractionation_factors,?,?,?,?,Y,N,uchar3
280,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Theoretical_chem_shifts,,M,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Theoretical chem shifts,VARCHAR(3),NOT NULL,Y,EntryInterview,TheoreticalChemShifts,N,N,,,,,,,,,N,280,,,6,,,0,?,Theoretical (calculated) chemical shift file(s),?,?,?,Y,Y,N,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,no,6,Entry_interview,Theoretical_chem_shifts,?,?,?,?,Y,N,uchar3
290,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Spectral_density_values,,M,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Spectral density values,VARCHAR(3),NOT NULL,Y,EntryInterview,SpectralDensityValues,N,N,,,,,,,,,N,290,,,16,,,0,?,Spectral density factor file(s),?,?,?,Y,Y,N,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,no,6,Entry_interview,Spectral_density_values,?,?,?,?,Y,N,uchar3
300,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Timedomain_data,,M,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Timedomain data,VARCHAR(3),NOT NULL,Y,EntryInterview,TimedomainData,N,N,,,,,,,,,N,300,,,23,,,0,?,Time-domain data file(s),?,?,?,Y,Y,N,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,no,6,Entry_interview,Timedomain_data,?,?,?,?,Y,N,uchar3
310,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.New_kind_of_data,,M,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,New kind of data,VARCHAR(3),NOT NULL,Y,EntryInterview,NewKindOfData,N,N,,,,,,,,,N,310,,,28,,,0,?,New kind of data,?,?,?,Y,Y,N,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,no,6,Entry_interview,New_kind_of_data,?,?,?,?,Y,N,uchar3
320,deposited_data_files,N,R,1,entry_information,8,Deposited data files,_Deposited_data_files.Sf_category,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf category,VARCHAR(31),NOT NULL,Y,DepositedDataFiles,SfCategory,N,N,,,,,,,,,N,320,,,,,,1,?,n/a,Category assigned to the information in the saveframe.,?,?,Y,Y,N,Y,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,?,0,Deposited_data_files,Sf_category,?,?,?,?,Y,N,uchar3
330,deposited_data_files,N,R,1,entry_information,8,Deposited data files,_Deposited_data_files.Sf_framecode,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf framecode,VARCHAR(127),NOT NULL,Y,DepositedDataFiles,SfFramecode,N,N,,,,,,,,,N,330,,,,,,2,?,n/a,STAR term for the name assigned to the saveframe.,?,?,Y,Y,Y,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,?,0,Deposited_data_files,Sf_framecode,?,?,?,?,Y,N,uchar3
340,deposited_data_files,N,R,1,entry_information,8,Deposited data files,_Deposited_data_files.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,Y,DepositedDataFiles,EntryID,N,N,,,,Entry,ID,,,,N,340,,,,,,3,?,Entry ID,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,Y,_Entry.ID,?,_Entry.ID,I,V,V,I,V,I,I,V,I,I,V,I,?,0,Deposited_data_files,Entry_ID,Y,?,?,?,Y,N,uchar3
350,deposited_data_files,N,R,1,entry_information,8,Deposited data files,_Deposited_data_files.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,DepositedDataFiles,SfID,N,Y,Y,Y,,,,,,,N,350,,,,,,4,?,n/a,An interger value that is the unique identifier for the saveframe that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,?,?,Y,Y,N,N,N,N,?,?,?,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Deposited_data_files,Sf_ID,?,?,?,?,Y,N,name
360,deposited_data_files,N,R,1,entry_information,8,Deposited data files,_Deposited_data_files.ID,,,,,,Y,H,H,H,H,H,N,,,,,,ID,CHAR(12),NOT NULL,,DepositedDataFiles,DepositedDataFilesID,N,N,Y,,,,,,,,N,360,,,,,,5,?,n/a,?,?,?,Y,Y,N,N,N,N,?,?,?,I,V,V,I,I,I,I,I,I,I,I,I,?,0,Deposited_data_files,ID,Y,?,?,?,Y,N,line
370,deposited_data_files,N,T6,1,entry_information,8,Upload data,_Upload_data.Data_file_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Data file ID,CHAR(12),NOT NULL,Y,UploadData,DataFileID,Y,N,,Y,,,,,,,Y,10,,,,,,6,?,Deposited data files ID,Unique code assigned to the file being uploaded by the depositor and that contains data that will be incorporated into this entry.,?,?,Y,Y,N,N,N,Y,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,?,0,Upload_data,Data_file_ID,Y,?,?,?,Y,N,code
380,deposited_data_files,N,T6,1,entry_information,8,Upload data,_Upload_data.Data_file_name,,M,,,,Y,Y,H,H,H,H,N,,,,,,Data file name,VARCHAR(127),NOT NULL,Y,UploadData,DataFileName,N,N,,,,,,,,,Y,20,,19,,,,0,/usr/pub/data/bmrb_entry/t1_relaxation_1.txt,Data file path and name,The directory path and file name for the data file that is to be uploaded.,?,?,Y,Y,N,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,?,1,Upload_data,Data_file_name,?,?,?,?,Y,N,int
390,deposited_data_files,N,T6,1,entry_information,8,Upload data,_Upload_data.Data_file_Sf_category,,M,,,,Y,Y,H,H,H,H,Y,Y,,,,,Data file Sf category,VARCHAR(31),NOT NULL,Y,UploadData,DataFileSfCategory,N,N,,,,,,,,,Y,30,,,,,,0,T1_relaxation,Data file type,The type of data contained in the file that is to be uploaded.,?,?,Y,Y,N,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,?,1,Upload_data,Data_file_Sf_category,?,?,?,?,Y,N,code
400,deposited_data_files,N,T6,1,entry_information,8,Upload data,_Upload_data.Data_file_syntax,,M,,,,Y,Y,H,H,H,H,Y,N,,,,,Data file syntax,VARCHAR(127),NOT NULL,Y,UploadData,DataFileSyntax,N,N,,,,,,,,,Y,40,,,,,,0,NMR-STAR 3.0,Data file syntax,The syntax or format of the file that is uploaded.,?,?,Y,Y,N,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,?,1,Upload_data,Data_file_syntax,?,?,?,?,Y,N,code
410,deposited_data_files,N,T6,1,entry_information,8,Upload data,_Upload_data.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,UploadData,SfID,N,Y,,Y,,Deposited_data_files,Sf_ID,,,,Y,50,,,,,,4,?,n/a,Pointer to '_Deposited_data_files.Sf_ID',?,?,Y,Y,N,N,N,N,_Deposited_data_files.Sf_ID,?,_Deposited_data_files.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Upload_data,Sf_ID,?,?,?,?,Y,N,line
420,deposited_data_files,N,T6,1,entry_information,8,Upload data,_Upload_data.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,Y,UploadData,EntryID,N,N,,,,Entry,ID,,,,Y,60,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,Y,_Entry.ID,?,_Entry.ID,I,V,V,R,R,R,R,R,R,R,R,R,?,0,Upload_data,Entry_ID,?,?,?,?,Y,N,name
430,deposited_data_files,N,T6,1,entry_information,8,Upload data,_Upload_data.Deposited_data_files_ID,,,,,,Y,H,H,H,H,H,N,,,,,,Deposited data files ID,CHAR(12),NOT NULL,,UploadData,DepositedDataFilesID,N,N,,,,Deposited_data_files,ID,,,,Y,70,,,,,,5,?,n/a,Pointer to '_Deposited_data_files.ID',?,?,Y,Y,N,N,N,Y,_Deposited_data_files.ID,?,_Deposited_data_files.ID,I,V,V,I,I,I,I,I,I,I,I,I,?,0,Upload_data,Deposited_data_files_ID,Y,?,?,?,Y,N,line
440,study_list,Y,R,1,entry_information,10,Study list,_Study_list.Sf_category,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf category,VARCHAR(31),NOT NULL,,StudyList,SfCategory,N,N,,,,,,,,,N,370,,,,,,1,assigned_chemical_shifts,Sf category,Category assigned to the information in the saveframe.,?,?,Y,Y,N,Y,N,N,?,?,?,C,C,C,C,C,C,C,C,C,C,C,C,?,0,Study_list,Sf_category,?,?,?,?,Y,N,int
450,study_list,Y,R,1,entry_information,10,Study list,_Study_list.Sf_framecode,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf framecode,VARCHAR(127),NOT NULL,Y,StudyList,SfFramecode,N,N,,,,,,,,,N,380,,,,,,2,citation_one,Sf framecode,Character string that is unique to the saveframe within the data block defined by a specific entry.  The character string names the saveframe and may be used to reference or to point to the saveframe later in the data block.,?,?,Y,Y,Y,N,N,N,?,?,?,I,C,C,I,C,I,I,C,I,I,C,I,?,0,Study_list,Sf_framecode,?,?,?,?,Y,N,code
460,study_list,Y,R,1,entry_information,10,Study list,_Study_list.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,StudyList,SfID,N,Y,Y,Y,,,,,,,N,390,,,,,,4,32,n/a,An interger value that is the unique identifier for the saveframe that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,?,?,Y,Y,N,N,N,N,?,?,?,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Study_list,Sf_ID,?,?,?,?,Y,N,code
