Dictionary sequence,SFCategory,ADIT category mandatory,ADIT category view type,ADIT super category ID,ADIT super category,ADIT category group ID,ADIT category view name,Tag,BMRB current,BMRB next release,Discussion List,SG Mandatory,BMRB/CCPN status,ADIT exists,User full view,User structure view,User non-structure view,User NMR param. View,Annotator full view,Item enumerated,Item enumeration closed,Enum parent SFcategory,Enum parent tag,Derived enumeration mantable,Derived enumeration,ADIT item view name,Data Type,Nullable,Non-public,ManDBTableName,ManDBColumnName,Row Index Key,Saveframe ID tag,Source Key,Table Primary Key,Foreign Key Group,Foreign Table,Foreign Column,Secondary index,Loopflag,Seq,Dbspace,Example,Prompt,Description
130,study,N,T6,1,entry_information,10, Entry,_Entry.BMRB_accession_code,,O,Y,,open,Y,N,H,H,H,H,N,,,,,,BMRB accession code,VARCHAR(127),,,Entry,BMRBAccessionCode,N,N,,Y,,,,,Y,30,1,4398,BMRB accession number for an entry in the study,BMRB accession number for an entry that is a member of the study.
140,study,N,T6,1,entry_information,10, Entry,_Entry.Entry_relationship,,O,Y,,open,Y,H,H,H,H,H,N,,,,,,Entry relationship,VARCHAR(127),,,Entry,EntryRelationship,N,N,,,,,,,Y,40,1,?,na,A keyword defining the relationship between the entry and the study.
150,study,N,T6,1,entry_information,10, Entry,_Entry.Details,,O,,,open,Y,H,H,H,H,H,N,,,,,,Details,TEXT,,,Entry,Details,N,N,,,,,,,Y,50,1,?,na,Text providing additional information describing the relationship between the entry and the study.
160,entry_information,Y,R,1,entry_information,20, Entry information,_Entry_information.Sf_category,,X,,,open,Y,H,H,H,H,H,N,,,,,,Sf category,VARCHAR(31),,,EntryInformation,SfCategory,N,N,,Y,,,,,N,80,1,?,na,?
170,entry_information,Y,R,1,entry_information,20, Entry information,_Entry_information.Sf_framecode,,X,,,open,Y,H,H,H,H,H,N,,,,,,Sf framecode,VARCHAR(127),,,EntryInformation,SfFramecode,N,N,,,,,,,N,90,1,?,na,?
180,entry_information,Y,R,1,entry_information,20, Entry information,_Entry_information.Entry_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,EntryInformation,EntryID,N,Y,Y,Y,,,,,N,100,1,?,na,?
190,entry_information,Y,R,1,entry_information,20, Entry information,_Entry_information.Title,,M,Y,,open,Y,Y,H,H,H,H,N,,,,,,Title,VARCHAR(127),,,EntryInformation,Title,N,N,,,,,,,N,110,1,'Backbone 1H\$ 13C\$ and 15N Chemical Shift Assignments for Lysozyme',Entry title,A descriptive title for the entry.  Something similar to the title of a scientific paper.
200,entry_information,Y,R,1,entry_information,20, Entry information,_Entry_information.Entry_type,X,X,,,open,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Entry type,VARCHAR(31),NOT NULL,,EntryInformation,EntryType,N,N,,,,,,,N,120,1,original,Type of entry,Defines whether the current version of the entry is the original version or an updated version.
210,entry_information,Y,R,1,entry_information,20, Entry information,_Entry_information.BMRB_accession_code,,X,,,open,Y,H,H,H,H,H,N,,,,,,BMRB accession code,INTEGER,,,EntryInformation,BMRBAccessionCode,N,N,,,,,,,N,130,1,4181,na,BMRB accession number for this entry
220,entry_information,Y,R,1,entry_information,20, Entry information,_Entry_information.Submission_date,X,X,,,open,Y,H,Y,Y,Y,Y,N,,,,,,Submission date,DATETIME year to day,NOT NULL,,EntryInformation,SubmissionDate,N,N,,,,,,,N,140,1,10/4/99,na,Date the entry was submitted to BMRB.
230,entry_information,Y,R,1,entry_information,20, Entry information,_Entry_information.Accession_date,X,X,,,open,Y,H,Y,Y,Y,Y,N,,,,,,Accession date,DATETIME year to day,NOT NULL,,EntryInformation,AccessionDate,N,N,,,,,,,N,150,1,7/4/99,na,Date BMRB accession number was assigned to the entry.
240,entry_information,Y,R,1,entry_information,20, Entry information,_Entry_information.Latest_release_date,X,X,,,open,Y,H,Y,Y,Y,Y,N,,,,,,Latest release date,DATETIME year to day,NOT NULL,,EntryInformation,LatestReleaseDate,N,N,,,,,,,N,160,1,3/2/00,na,Date the current version of th entry was released.
250,entry_information,Y,R,1,entry_information,20, Entry information,_Entry_information.Original_release_date,X,X,,,open,Y,H,Y,Y,Y,Y,N,,,,,,Original release date,DATETIME year to day,NOT NULL,,EntryInformation,OriginalReleaseDate,N,N,,,,,,,N,170,1,4/24/98,na,Date the entry was originally released.
260,entry_information,Y,R,1,entry_information,20, Entry information,_Entry_information.Entry_origination,X,X,,,open,Y,H,Y,Y,Y,Y,N,,,,,,Entry origination,VARCHAR(31),NOT NULL,,EntryInformation,EntryOrigination,N,N,,,,,,,N,180,1,author,na,The value to this tag defines who entered the original data into the database.  Entries taken from the literature and entered by BMRB staff are marked 'BMRB.'  Entries supplied by authors are marked 'author' and entries taken from the PDB will be marked 'PDB.'
270,entry_information,Y,R,1,entry_information,20, Entry information,_Entry_information.NMR_STAR_version,X,X,,,open,Y,H,Y,Y,Y,Y,N,,,,,,NMR STAR version,VARCHAR(31),NOT NULL,,EntryInformation,NMRSTARVersion,N,N,,,,,,,N,190,1,2.1.1,na,Version of the NMR-STAR in which the current entry is formatted.
280,entry_information,Y,R,1,entry_information,20, Entry information,_Entry_information.Experimental_method,X,X,,,open,Y,H,Y,Y,Y,Y,N,,,,,,Experimental method,VARCHAR(127),NOT NULL,,EntryInformation,ExperimentalMethod,N,N,,,,,,,N,200,1,?,na,The experimental method used to gather the data in the entry is given as the value to this tag.
290,entry_information,Y,R,1,entry_information,20, Entry information,_Entry_information.Details,O,O,,,open,Y,N,H,H,H,H,N,,,,,,Details,TEXT,,,EntryInformation,Details,N,N,,,,,,,N,210,1,?,Entry description,?
300,entry_information,Y,R,1,entry_information,20, Entry information,_Entry_information.Special_processing_instructions,O,O,,,open,Y,N,Y,Y,Y,Y,N,,,,,,Special processing instructions,TEXT,,Y,EntryInformation,SpecialProcessingInstructions,N,N,,,,,,,N,220,1,?,Special entry processing instructions,Author supplied instructions for the annotators to use in processing the entry.
310,entry_information,Y,R,1,entry_information,20, Entry information,_Entry_information.Update_BMRB_accession_number,O,O,,,open,Y,N,Y,Y,Y,Y,N,,,,,,Update BMRB accession number,INTEGER,,Y,EntryInformation,UpdateBMRBAccessionNumber,N,N,,,,,,,N,230,1,?,BMRB accession number to be updated,Accession number for a BMRB entry that the current deposition is intended to update.
320,entry_information,Y,R,1,entry_information,20, Entry information,_Entry_information.Replace_BMRB_accession_number,O,O,,,open,Y,N,Y,Y,Y,Y,N,,,,,,Replace BMRB accession number,INTEGER,,Y,EntryInformation,ReplaceBMRBAccessionNumber,N,N,,,,,,,N,240,1,?,BMRB accession number to be replaced,Accession number for a BMRB entry that the current deposition is intended to replace.
330,entry_information,Y,R,1,entry_information,20, Entry information,_Entry_information.Update_PDB_accession_number,O,O,,,open,Y,N,Y,Y,Y,Y,N,,,,,,Update PDB accession number,VARCHAR(31),,Y,EntryInformation,UpdatePDBAccessionNumber,N,N,,,,,,,N,250,1,?,PDB accession code to be updated,Accession number for a PDB entry that the current deposition is intended to update.
340,entry_information,Y,R,1,entry_information,20, Entry information,_Entry_information.Replace_PDB_accession_number,O,O,,,open,Y,N,Y,Y,Y,Y,N,,,,,,Replace PDB accession number,VARCHAR(31),,Y,EntryInformation,ReplacePDBAccessionNumber,N,N,,,,,,,N,260,1,?,PDB accesssion number to be replaced,Accession number for a PDB entry that the current deposition is intended to replace.
350,entry_information,Y,R,1,entry_information,20, Entry information,_Entry_information.Update_details,O,O,,,open,Y,N,Y,Y,Y,Y,N,,,,,,Update details,TEXT,,Y,EntryInformation,UpdateDetails,N,N,,,,,,,N,270,1,?,Description of the update or replacement deposition,Text describing the reason for the update and the update itself.
360,entry_information,Y,R,1,entry_information,20, Entry information,_Entry_information.Release_request,M,M-SX,,,open,Y,Y,H,H,H,H,Y,,,,,,Release request,VARCHAR(127),,,EntryInformation,ReleaseRequest,N,N,,,,,,,N,280,1,Immediate; On publication; Specific date; One year hold,Release request,The condition choosen by the author for the release of the entry.
370,entry_information,Y,R,1,entry_information,20, Entry information,_Entry_information.Release_date_request,MC,MC-SX,,,open,Y,N,Y,Y,Y,Y,N,,,,,,Release date request,DATETIME year to day,,Y,EntryInformation,ReleaseDateRequest,N,N,,,,,,,N,290,1,10/21/02,Release date request,Date requested by the author for the release of the entry to the public.
380,entry_information,Y,R,1,entry_information,20, Entry information,_Entry_information.Release_date_justification,MC,MC-SX,,,open,Y,N,Y,Y,Y,Y,N,,,,,,Release date justification,TEXT,,Y,EntryInformation,ReleaseDateJustification,N,N,,,,,,,N,300,1,Patent pending,Release date justification,Text justification for the release date request.
390,entry_information,Y,T6,1,entry_information,20, Entry author,_Entry_author.Entry_ID,X,X,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,EntryAuthor,EntryID,N,Y,,Y,,EntryInformation,EntryID,,Y,10,1,?,na,?
400,entry_information,Y,T6,1,entry_information,20, Entry author,_Entry_author.Ordinal,M,M,,,open,Y,N,H,H,H,H,N,,,,,,Ordinal,INTEGER,NOT NULL,,EntryAuthor,Ordinal,Y,N,,Y,,,,,Y,20,1,1,na,Integer value defining the position of the author's name in the list of authors.
410,entry_information,Y,T6,1,entry_information,20, Entry author,_Entry_author.Family_name,M,M,,,open,Y,N,H,H,H,H,N,,,,,,Family name,VARCHAR(127),,,EntryAuthor,FamilyName,N,N,,,,,,,Y,30,1,Stevenson,Entry author's family name,The family name of the author.
420,entry_information,Y,T6,1,entry_information,20, Entry author,_Entry_author.Given_name,M,M,,,open,Y,N,H,H,H,H,N,,,,,,Given name,VARCHAR(127),,,EntryAuthor,GivenName,N,N,,,,,,,Y,40,1,Adlai,Entry author's given name,The name given the author at birth or currently used by the author for publication purposes.  Can be an initial if the author uses a second name as a full name when publishing.
430,entry_information,Y,T6,1,entry_information,20, Entry author,_Entry_author.First_initial,MC,MC,,,open,Y,N,H,H,H,H,N,,,,,,First initial,VARCHAR(15),,,EntryAuthor,FirstInitial,N,N,,,,,,,Y,50,1,A.,Entry author's initial for their given name,Initial of the author's first name.
440,entry_information,Y,T6,1,entry_information,20, Entry author,_Entry_author.Middle_initials,MC,MC,,,open,Y,N,H,H,H,H,N,,,,,,Middle initials,VARCHAR(15),,,EntryAuthor,MiddleInitials,N,N,,,,,,,Y,60,1,T.L.,Initials for the author's middle names,The initials for the author's middle names.  A name can be used here$ if the author uses a middle name for publications.
450,entry_information,Y,T6,1,entry_information,20, Entry author,_Entry_author.Family_title,O,O,,,open,Y,N,H,H,H,H,Y,Y,citations,_Author.Family_title,,,Family title,VARCHAR(15),,,EntryAuthor,FamilyTitle,N,N,,,,,,,Y,70,1,Jr.,Entry author's family title (not professional title),A common family title (not a professional title).
460,entry_information,Y,T6,1,entry_information,20, Sf category,_Sf_category.Entry_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,SfCategory,EntryID,N,Y,,Y,,EntryInformation,EntryID,,Y,10,1,?,na,?
470,entry_information,Y,T6,1,entry_information,20, Sf category,_Sf_category.Type,,X,,,open,Y,H,H,H,H,H,Y,Y,,,,,Type,VARCHAR(127),,,SfCategory,Type,N,N,,Y,,,,,Y,20,1,coupling_constants,na,The saveframe category type that contain quantitative data of the kind that is summarized in this table.  The enumerated list for this tag is a subset of the full list of saveframe categories available in constructing an NMR-STAR file.
480,entry_information,Y,T6,1,entry_information,20, Sf category,_Sf_category.Type_count,,X,,,open,Y,H,H,H,H,H,N,,,,,,Type count,INTEGER,,,SfCategory,TypeCount,N,N,,,,,,,Y,30,1,2,na,The integer number of saveframes in the entry that are of the type given by the value to the tag '_Saveframe_category_type' in this loop.
490,entry_information,Y,T6,1,entry_information,20, Data type,_Data_type.Entry_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,DataType,EntryID,N,Y,,Y,,EntryInformation,EntryID,,Y,10,1,?,na,?
500,entry_information,Y,T6,1,entry_information,20, Data type,_Data_type.Data_type,,X,,,open,Y,H,H,H,H,H,Y,Y,,,,,Data type,VARCHAR(127),,,DataType,DataType,N,N,,Y,,,,,Y,20,1,1H chemical shifts,na,A type of quantitative data found in the entry.
510,entry_information,Y,T6,1,entry_information,20, Data type,_Data_type.Count,,X,,,open,Y,H,H,H,H,H,N,,,,,,Count,INTEGER,,,DataType,Count,N,N,,,,,,,Y,30,1,981,na,An integer representing the total number of values of the type defined by the value to the tag '_Data_type' found in all saveframes in the current entry.
520,entry_information,Y,T6,1,entry_information,20, Release,_Release.Entry_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,Release,EntryID,N,Y,,Y,,EntryInformation,EntryID,,Y,10,1,?,na,?
530,entry_information,Y,T6,1,entry_information,20, Release,_Release.Release_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Release ID,INTEGER,,,Release,ReleaseID,N,N,,Y,,,,,Y,20,1,?,na,?
540,entry_information,Y,T6,1,entry_information,20, Release,_Release.Release_date,,X,,,open,Y,H,H,H,H,H,N,,,,,,Release date,DATETIME year to day,,,Release,ReleaseDate,N,N,,,,,,,Y,30,1,?,na,Date entry was released.
550,entry_information,Y,T6,1,entry_information,20, Release,_Release.Submission_date,X,X,,,open,Y,H,Y,Y,Y,Y,N,,,,,,Submission date,DATETIME year to day,NOT NULL,,Release,SubmissionDate,N,N,,,,,,,Y,40,1,10/4/99,na,Date the entry was submitted to BMRB.
560,entry_information,Y,T6,1,entry_information,20, Release,_Release.Release_type,,X,,,open,Y,H,H,H,H,H,N,,,,,,Release type,VARCHAR(31),,,Release,ReleaseType,N,N,,,,,,,Y,50,1,?,na,Value describing with a key word the type of entry that was released.
570,entry_information,Y,T6,1,entry_information,20, Release,_Release.Author,,X,,,open,Y,H,H,H,H,H,N,,,,,,Author,VARCHAR(31),,,Release,Author,N,N,,,,,,,Y,60,1,?,na,A keyword indicating the type of author of the release.
580,entry_information,Y,T6,1,entry_information,20, Release,_Release.Detail,,X,,,open,Y,H,H,H,H,H,N,,,,,,Detail,TEXT,,,Release,Detail,N,N,,,,,,,Y,70,1,?,na,Text describing the changes made to the entry.
590,entry_information,Y,T6,1,entry_information,20, Related entries,_Related_entries.Entry_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,RelatedEntries,EntryID,N,Y,,Y,,EntryInformation,EntryID,,Y,10,1,?,na,?
600,entry_information,Y,T6,1,entry_information,20, Related entries,_Related_entries.BMRB_accession_number,,O,,,open,Y,N,H,H,H,H,N,,,,,,BMRB accession number,INTEGER,,,RelatedEntries,BMRBAccessionNumber,N,N,,Y,,,,,Y,20,1,?,BMRB accession number for a related BMRB entry,List of accession numbers for BMRB entries that are in someway related to the current entry.
610,entry_information,Y,T6,1,entry_information,20, Related entries,_Related_entries.Relationship,,O,,,open,Y,N,H,H,H,H,N,,,,,,Relationship,VARCHAR(127),,,RelatedEntries,Relationship,N,N,,,,,,,Y,30,1,?,Relationship to current entry,Text describing the relationship between the current BMRB entry and the entry with the corresponding BMRB accession number given as a value to the tag '_Related_BMRB_accession_number.'
620,contact_persons,Y,R,1,entry_information,30, Contact persons,_Contact_persons.Sf_category,,X,,,open,Y,H,H,H,H,H,N,,,,,,Sf category,VARCHAR(31),,,ContactPersons,SfCategory,N,N,,Y,,,,,N,310,1,?,na,?
630,contact_persons,Y,R,1,entry_information,30, Contact persons,_Contact_persons.Sf_framecode,,X,,,open,Y,H,H,H,H,H,N,,,,,,Sf framecode,VARCHAR(127),,,ContactPersons,SfFramecode,N,N,,,,,,,N,320,1,?,na,?
640,contact_persons,Y,R,1,entry_information,30, Contact persons,_Contact_persons.Entry_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,ContactPersons,EntryID,N,N,,Y,,EntryInformation,EntryID,,N,330,1,?,na,?
650,contact_persons,Y,R,1,entry_information,30, Contact persons,_Contact_persons.Contact_persons_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Contact persons ID,CHAR(12),NOT NULL,,ContactPersons,ContactPersonsID,N,Y,Y,Y,,,,,N,340,1,?,na,?
660,contact_persons,Y,T6,1,entry_information,30, Contact person,_Contact_person.Entry_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,ContactPerson,EntryID,N,N,,Y,,EntryInformation,EntryID,,Y,10,1,?,na,?
670,contact_persons,Y,T6,1,entry_information,30, Contact person,_Contact_person.Contact_persons_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Contact persons ID,CHAR(12),NOT NULL,,ContactPerson,ContactPersonsID,N,Y,,Y,,ContactPersons,ContactPersonsID,,Y,20,1,?,na,?
680,contact_persons,Y,T6,1,entry_information,30, Contact person,_Contact_person.Family_name,,M,,,open,Y,Y,H,H,H,H,N,,,,,,Family name,VARCHAR(127),,,ContactPerson,FamilyName,N,N,,,,,,,Y,30,1,?,Contact person's family name,The family name of the contact person.
690,contact_persons,Y,T6,1,entry_information,30, Contact person,_Contact_person.Given_name,,M,,,open,Y,Y,H,H,H,H,N,,,,,,Given name,VARCHAR(127),,,ContactPerson,GivenName,N,N,,,,,,,Y,40,1,?,Contact person's given name,The name given the contact person at birth or currently used by the author for publication purposes.  Can be an initial if the author uses a second name as a full name when publishing.
700,contact_persons,Y,T6,1,entry_information,30, Contact person,_Contact_person.Middle_initials,,O,,,open,Y,N,H,H,H,H,N,,,,,,Middle initials,VARCHAR(15),,,ContactPerson,MiddleInitials,N,N,,,,,,,Y,50,1,?,Contact person's middle initials,The initials for the contact person's middle names.  A name can be used here$ if the contact person uses a middle name for publications.
710,contact_persons,Y,T6,1,entry_information,30, Contact person,_Contact_person.Family_title,,O,,,open,Y,N,H,H,H,H,Y,,citations,_Author.Family_title,,,Family title,VARCHAR(15),,,ContactPerson,FamilyTitle,N,N,,,,,,,Y,60,1,?,Contact person's family title (not professional title),A common family title (not a professional title).
720,contact_persons,Y,T6,1,entry_information,30, Contact person,_Contact_person.Department_and_institution,,M,,,open,Y,Y,H,H,H,H,N,,,,,,Department and institution,VARCHAR(255),,,ContactPerson,DepartmentAndInstitution,N,N,,,,,,,Y,70,1,?,Department and institution,Department and institution where the contact person works.
730,contact_persons,Y,T6,1,entry_information,30, Contact person,_Contact_person.Mailing_address,,M,,,open,Y,Y,H,H,H,H,N,,,,,,Mailing address,VARCHAR(255),,,ContactPerson,MailingAddress,N,N,,,,,,,Y,80,1,?,Mailing address,A business mailing address for the contact person.
740,contact_persons,Y,T6,1,entry_information,30, Contact person,_Contact_person.Phone_number,,M,,,open,Y,Y,H,H,H,H,N,,,,,,Phone number,VARCHAR(31),,,ContactPerson,PhoneNumber,N,N,,,,,,,Y,90,1,?,Telephone number,A business telephone number for the contact person.
750,contact_persons,Y,T6,1,entry_information,30, Contact person,_Contact_person.Email_address,,M,,,open,Y,Y,H,H,H,H,N,,,,,,Email address,VARCHAR(127),,,ContactPerson,EmailAddress,N,N,,,,,,,Y,100,1,?,E-mail address,Business e-mail address for the contact person.
760,contact_persons,Y,T6,1,entry_information,30, Contact person,_Contact_person.FAX_number,,M,,,open,Y,Y,H,H,H,H,N,,,,,,FAX number,VARCHAR(31),,,ContactPerson,FAXNumber,N,N,,,,,,,Y,110,1,?,FAX number,Business FAX number for the contact person.
770,citations,Y,R,2,citations,40, Citations,_Citations.Sf_category,,X,,,open,Y,H,H,H,H,H,N,,,,,,Sf category,VARCHAR(31),,,Citations,SfCategory,N,N,,Y,,,,,N,350,1,?,na,?
780,citations,Y,R,2,citations,40, Citations,_Citations.Sf_framecode,,X,,,open,Y,H,H,H,H,H,N,,,,,,Sf framecode,VARCHAR(127),,,Citations,SfFramecode,N,N,,,,,,,N,360,1,?,na,?
790,citations,Y,R,2,citations,40, Citations,_Citations.Entry_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,Citations,EntryID,N,N,,Y,,EntryInformation,EntryID,,N,370,1,?,na,?
800,citations,Y,R,2,citations,40, Citations,_Citations.Citation_ID,,M,,,open,Y,H,H,H,H,H,N,,,,,,Citation ID,CHAR(12),NOT NULL,,Citations,CitationID,N,Y,Y,Y,,,,,N,380,1,?,na,?
810,citations,Y,R,2,citations,40, Citations,_Citations.Class,,M,,,open,Y,Y,H,H,H,H,Y,,,,,,Class,VARCHAR(31),,,Citations,Class,N,N,,,,,,,N,390,1,entry citation,Citation class,Keyword defining the citation as the key citation for the entry or a citation used as a referenece in the entry.
820,citations,Y,R,2,citations,40, Citations,_Citations.Full_citation,,X,,,open,Y,H,H,H,H,H,N,,,,,,Full citation,TEXT,,,Citations,FullCitation,N,N,,,,,,,N,400,1,?,na,Full publication citation including authors$ title$ journal$ page numbers$ year or equivalent information for the type of publication given.
830,citations,Y,R,2,citations,40, Citations,_Citations.Title,,M,,,open,Y,Y,H,H,H,H,N,,,,,,Title,VARCHAR(255),,,Citations,Title,N,N,,,,,,,N,410,1,'1H and 15N Assigned Chemical Shifts for RNase A',Citation title,Title for the publication.
840,citations,Y,R,2,citations,40, Citations,_Citations.Status,,M,,,open,Y,Y,H,H,H,H,Y,Y,,,,,Status,VARCHAR(31),,,Citations,Status,N,N,,,,,,,N,420,1,?,Citation status,Status for the current publication (in preparation
850,citations,Y,R,2,citations,40, Citations,_Citations.Type,,M,,,open,Y,Y,H,H,H,H,Y,,,,,,Type,VARCHAR(31),,,Citations,Type,N,N,,,,,,,N,430,1,journal,Citation type,Descriptive word or phrase defining the kind of publication reported (journal; book; thesis; etc.)
860,citations,Y,R,2,citations,40, Citations,_Citations.CAS_abstract_code,,X,,,open,Y,H,H,H,H,H,N,,,,,,CAS abstract code,VARCHAR(31),,,Citations,CASAbstractCode,N,N,,,,,,,N,440,1,?,na,Code from the Chemical Abstract Services assigned to this citation.
870,citations,Y,R,2,citations,40, Citations,_Citations.MEDLINE_UI_code,,O,,,open,Y,H,H,H,H,H,N,,,,,,MEDLINE UI code,VARCHAR(31),,,Citations,MEDLINEUICode,N,N,,,,,,,N,450,1,?,na,MEDLINE uniform identification code assigned to the publication described in the saveframe.
880,citations,Y,R,2,citations,40, Citations,_Citations.PubMed_ID,,O,,,open,Y,N,H,H,H,H,N,,,,,,PubMed ID,INTEGER,,,Citations,PubMedID,N,N,,,,,,,N,460,1,?,Citation PubMed ID,?
890,citations,Y,R,2,citations,40, Citations,_Citations.Journal_abbreviation,,MC,,,open,Y,N,H,H,H,H,N,,,,,,Journal abbreviation,VARCHAR(127),,,Citations,JournalAbbreviation,N,N,,,,,,,N,470,1,?,Journal abbreviation,Standard abbreviation for journals used by the Chemical Abstract Services
900,citations,Y,R,2,citations,40, Citations,_Citations.Journal_name_full,,X,,,open,Y,H,H,H,H,H,N,,,,,,Journal name full,VARCHAR(127),,,Citations,JournalNameFull,N,N,,,,,,,N,480,1,?,?,Full name used by the journal.
