category_super_group_ID,category_super_group,category_group_ID,saveframe_category,mandatory_number,ADIT replicable,allowed_user_defined_framecode,validateFlgs,viewFlags,category_group_view_name,group_view_help
8,structure,740,floating_chiral_stereo_assign,,Y,Y,OOOOOO,HHHHHH,Floating chirality stereoassignments,help text
8,structure,760,torsion_angle_constraints,,Y,Y,OOOOOO,HHHHHH,Torsion angle constraints,help text
8,structure,770,RDC_constraints,,Y,Y,OOOOOO,HHHHHH,Residual dipolar coupling constraints,help text
8,structure,790,J_three_bond_constraints,,Y,Y,OOOOOO,HHHHHH,J three bond constraints,help text
8,structure,800,CA_CB_chem_shift_constraints,,Y,Y,OOOOOO,HHHHHH,CA/CB chemical shift constraints,help text
8,structure,810,H_chem_shift_constraints,,Y,Y,OOOOOO,HHHHHH,Proton chemical shift constraints,help text
8,structure,820,other_constraints,,Y,Y,OOOOOO,HHHHHH,Other constraints,help text
8,structure,830,violated_constraints,,Y,Y,OOOOOO,HHHHHH,Violated constraints,help text
4,experimental_details,840,NMR_spectrometer_expt_list,,N,N,OOOMMO,NHHHHH,NMR spectrometer experiment list,A list of the NMR experiments carried our is provided in this section.  Specific details regarding the experiments can be provide in the section on NMR spectrometer experiemnts.
4,experimental_details,850,NMR_spectrometer_expt,,Y,Y,OOOMMO,NHHHHH,NMR spectrometer experiment,Specific details regarding each NMR experiment are given here.
4,experimental_details,860,NMR_spectral_processing,,Y,Y,OOOMMO,HHHHHH,NMR spectral processing protocols,Protocols used to process the raw NMR spectral data sets are described in this section.
4,experimental_details,880,NMR_spectrometer,,Y,Y,OOOMMO,NHHHHH,NMR Spectrometers used,A brief description for each NMR spectrometer used is entered here.
4,experimental_details,890,NMR_spectrometer_probe,,Y,Y,OOOMMO,HHHHHH,NMR probe descriptions,NMR spectrometer probes are listed and described in this section.
4,experimental_details,900,software,,Y,Y,OOOMMO,NHHHHH,Software descriptions,A description of each software application used is provided in this section.
4,experimental_details,910,method,,Y,Y,OOOOOO,HHHHHH,Methods,Details about general methods used to analyze data are given in this section.
4,experimental_details,920,computer,,Y,Y,OOOOOO,HHHHHH,Computer hardware description,Computer hardware used in to process and analyze data is described in this section.
TBL_END,,,,,,,,,,?
