category type,category,Description
item_category,Software_reference,Items in the software_reference category point to literature or other reference information for the software package listed with the reference items in the reference_list save frame.
item_category,Computing_platform,Items in the computing_platform category describe the location and characteristics of the computing resource used to execute software packages used in the entry.
item_category,Molecular_modeling_param_file_list,Items in the molecular_modeling_param_file_list provide information about a save frame and the software for a set of files used to model a molecular compound.
item_category,Mol_modeling_param_file,Items in the mol_modeling_param_file provide details regarding the individual modeling parameter files for a software package.
item_category,NMR_spectrometer,Items in the NMR_spectrometer category describe an NMR spectrometer used to collect experimental data.
item_category,Experiment_list,Items in the experiment_list category provide meta data about a set of experiments used to collect the data provided in an entry.
item_category,Experiment,Items in the experiment category define the experiments carried out and the samples$ sample conditions$ and if relevant NMR spectrometer used in the experiment.
item_category,Experiment_file,Items in the experiment_file category provide details about computer files relevant to the experiment described by the items in the experiment category.
item_category,NMR_spec_expt,Items in the NMR_spec_expt category provide detailed information about an NMR spectrometer experiment.
item_category,NMR_expt_systematic_name,Items in the NMR_expt_systematic_name category define a system for naming NMR experiments and the specific name given to an NMR experiment in the entry.
item_category,Chem_shift_reference,Items in the chem_shift_reference category define a set of chemical shift referencing parameters.
item_category,Chem_shift_ref,Items in the chem_shift_ref category provide the chemical shift referencing values used in assigning the chemical shift positions for peaks in spectral peak lists and assigned atom chemical shifts.
item_category,Assigned_chem_shift_list,Items in the assigned_chem_shift_list category provide information about a list of reported assigned chemical shift values.
item_category,Chem_shift_experiment,Items in the chem_shift_experiment category provide pointers to the NMR experiments and samples used to collect the data for a set of reported assigned chemical shifts.
item_category,Chem_shift_software,Items in the chem_shift_software category provide pointers to the software category and methods category.
item_category,Atom_chem_shift,Items in the atom_chem_shift category describe the chemical shift values assigned to specific atoms in a molecular assembly.
item_category,Spectral_peak_list,Items in the spectral_peak_list category provide information about a list of reported spectral peak characteristic values.
item_category,Spectral_dim,Items in the spectral_dim category describe the parameters of each dimension in the NMR experiment used to generate the spectral peak list.
item_category,Spectral_peak_software,Items in the spectral_peak_software category provide pointers to the software category and methods category where descriptions of software applications and methods can be found.
item_category,Peak,Items in the peak category define the identification code for the peaks in an NMR spectrum and the figure of merit for each peak.
item_category,Peak_general_char,Items in the peak_general_char category provide quantitative information about the peak that is not specific to individual dimensions of the spectral data.
item_category,Peak_char,Items in the peak_char category provide quantitative information about the peak that is specific to the dimensions of the spectral data.
item_category,Assigned_peak_chem_shift,Items in the assigned_peak_chem_shift category define the atom(s) assigned to individual peaks in the spectral peak list.
Table_end,?,?
