category type,category,Description
category_group,software,Categories that describe computer software.
category_group,method,Categories that describe software or physical methods used to produce a product or data.
category_group,Mass_spectrometer,Categories that describe a mass spectrometer.
category_group,Mass_spectrometer_list,Categories that describe a list of mass spectrometers and properties of the spectrometers listed.
category_group,Mass_spec_ref_compd,Categories that describe reference compounds used to calibrate mass spectral data.
category_group,chromatographic_system,Categories that describe a chromatographic system.
category_group,chromatographic_column,Categories that describe a chromatographic column.
category_group,fluorescence_instrument,Categories that describe a fluorescence instrument.
category_group,EMR_instrument,Categories that describe an EMR instrument.
category_group,Xray_instrument,Categories that describe a X-ray instrument.
category_group,NMR_spectrometer,Categories that describe an NMR spectrometer.
category_group,NMR_spectrometer_list,Categories that define a list of NMR spectrometers and their properties.
category_group,NMR_spectrometer_probe,Categories that describe an NMR spectrometer probe.
category_group,NMR_spectrometer_expt_list,Categories that define a list of NMR spectrometer experiments.
category_group,NMR_spectrometer_expt,Categories that describe an NMR spectrometer experiment in detail.
category_group,NMR_spectral_processing,Categories that describe how the data from an NMR spectrometer experiment has been processed.
category_group,experiment_list,Categories that describe a list of experiments.
category_group,MS_expt,Categories that describe a mass spectroscopy experiment.
category_group,FRET_expt,Categories that describe a fluorescence experiment.
category_group,EMR_expt,Categories that describe an electron magnetic resonance experiment.
category_group,SAXS_expt,Categories that describe a small angle X-ray scattering experiment.
category_group,computer,Categories that describe a computer.
category_group,computing_platform,Categories that describe a computing platform.
category_group,chem_shift_reference,Categories that capture information about the compounds and parameters used to reference NMR chemical shifts.
category_group,assigned_chemical_shifts,Categories that capture assigned chemical shift values and links to the samples$ sample conditions$ NMR experiments$ and other information about how the assigned chemical shifts were derived.
category_group,coupling_constants,Categories that capture coupling constant values and links to the samples$ sample conditions$ NMR experiments$ and other information about how the coupling constants were derived.
category_group,theoretical_coupling_constants,Categories that capture theoretical coupling constant values and links to the software$ samples$ sample conditions$ NMR experiments$ and other information about how the theoretical coupling constants were derived.
category_group,spectral_peak_list,Categories that capture the properties of NMR spectral peaks$ spectral parameters$ and links to the NMR experiments and other information regarding the data.
category_group,resonance_linker,Categories that describe the linking of resonances to chemical spin systems and experimental results.
category_group,chem_shift_isotope_effect,Categories that capture chemical shift isotope effect values and links to the samples$ sample conditions$ NMR experiments$ and other information about how the values were derived.
category_group,chem_shift_perturbation,Categories that capture chemical shift perturbations and links to the samples$ sample conditions$ NMR experiments$ and other information about how the deviation values were derived.
category_group,chem_shift_anisotropy,Categories that capture chemical shift anisotropy values and links to the samples$ sample conditions$ NMR experiments$ and other information about how the values were derived.
category_group,theoretical_chem_shifts,Categories that capture theoretical chemical shift values and links to the samples$ sample conditions$ NMR experiments$ and other information about how the values were derived.
category_group,chem_shifts_calc_type,Categories that define the type of calculation used to generate a list of theoretical chemical shifts for a molecule.
category_group,RDCs,Categories that capture residual dipolar coupling values and links to the samples$ sample conditions$ NMR experiments$ and other information about how the values were derived.
category_group,dipolar_couplings,Categories that capture dipolar coupling values and links to the samples$ sample conditions$ NMR experiments$ and other information about how the values were derived.
category_group,spectral_density_values,Categories that capture spectral density values and links to the samples$ sample conditions$ NMR experiments$ and other information about how the values were derived.
category_group,other_data_types,Categories that capture the values for other kinds of data not modeled in specific category groups in the dictionary and links to the samples$ sample conditions$ NMR experiments$ and other information about how the data were derived.
category_group,chemical_rates,Categories that capture chemical rate data and links to the samples$ sample conditions$ NMR experiments$ and other information about how the data were collected and analyzed.
category_group,H_exch_rates,Categories that capture hydrogen exchange rate data and links to the samples$ sample conditions$ NMR experiments$ and other information about how the data were derived.
category_group,H_exch_protection_factors,Categories that capture hydrogen exchange protection factor data and links to the samples$ sample conditions$ NMR experiments$ and other information about how the data were derived.
category_group,homonucl_NOEs,Categories that capture homonuclear NOE values and links to the samples$ sample conditions$ NMR experiments$ and other information about how the values were derived.
category_group,heteronucl_NOEs,Categories that capture heteronuclear NOE values and links to the samples$ sample conditions$ NMR experiments$ and other information about how the values were derived.
category_group,theoretical_heteronucl_NOEs,Categories that capture theoretical heteronuclear NOE values and links to the software$ samples$ sample conditions$ NMR experiments$ and other information about how the values were derived.
category_group,heteronucl_T1_relaxation,Categories that capture heteronuclear T1/R1 relaxation values and links to the samples$ sample conditions$ NMR experiments$ and other information about how the data were derived.
category_group,theoretical_heteronucl_T1_relaxation,Categories that capture theoretical heteronuclear T1/R1 relaxation values and links to the software$ samples$ sample conditions$ NMR experiments$ and other information about how the data were derived.
category_group,heteronucl_T1rho_relaxation,Categories that capture heteronuclear T1rho/R1rho relaxation values and links to the samples$ sample conditions$ NMR experiments$ and other information about how the data were derived.
category_group,heteronucl_T2_relaxation,Categories that capture heteronuclear T2/R2 relaxation values and links to the samples$ sample conditions$ NMR experiments$ and other information about how the data were derived.
category_group,theoretical_heteronucl_T2_relaxation,Categories that capture theoretical heteronuclear T2/R2 relaxation values and links to the software$ samples$ sample conditions$ NMR experiments$ and other information about how the data were derived.
category_group,auto_relaxation,Categories that capture auto relaxation data and links to the samples$ sample conditions$ NMR experiments$ and other information about how the data were collected and analyzed.
category_group,theoretical_auto_relaxation,Categories that capture theoretical auto relaxation data and links to the software$ samples$ sample conditions$ NMR experiments$ and other information about how the data were collected and analyzed.
category_group,dipole_dipole_relaxation,Categories that capture dipole-dipole relaxation values and links to the samples$ sample conditions$ NMR experiments$ and other information about how the data were derived.
category_group,dipole_dipole_cross_correlations,Categories that capture dipole-dipole cross correlation data and links to the samples$ sample conditions$ NMR experiments$ and other information about how the data were derived.
category_group,theoretical_dipole_dipole_cross_correlations,Categories that capture theoretical dipole-dipole cross correlation data and links to the software$ samples$ sample conditions$ NMR experiments$ and other information about how the data were derived.
category_group,dipole_CSA_cross_correlations,Categories that capture dipole-CSA cross correlation data and links to the samples$ sample conditions$ NMR experiments$ and other information about how the data were derived.
category_group,order_parameters,Categories that capture order parameter values and links to the samples$ sample conditions$ NMR experiments$ and other information about how the data were derived.
category_group,pH_titration,Categories that capture the pKa or pHmid values derived from a pH titration experiment and links to the experimental details.
category_group,pH_param_list,Categories that capture the NMR spectral parameters derived from a pH titration experiment.
category_group,D_H_fractionation_factors,Categories that capture deuterium-hydrogen fractionation factor values and links to the samples$ sample conditions$ NMR experiments$ and other information about how the data were derived.
category_group,binding_data,Categories that capture the binding data derived from a chemical binding experiment and links to the experimental details.
category_group,binding_param_list,Categories that capture the NMR spectral parameters derived from a chemical binding experiment.
category_group,deduced_secd_struct_features,Categories that capture secondary structure features deduced from experimental data$ but not derived from a three-dimensional structure and links to the data used to deduce the secondary structure features.
category_group,deduced_hydrogen_bonds,Categories that capture hydrogen bonds information deduced from experimental data$ but not derived from a three-dimensional structure and links to the data used to deduce the hydrogen bonds.
category_group,conformer_statistics,Categories that capture statistics derived from the three-dimensional conformers calculated for a biomolecule.
category_group,constraint_statistics,Categories that capture statistics derived from the constraints used to calculate the three-dimension conformers for a biomolecule and the constraint violations.
category_group,representative_conformer,Categories that capture the atomic coordinates for a representative conformer of a biomolecular system and links to the experimental conditions and data used to derive the conformer.
category_group,conformer_family_coord_set,Categories that capture the atomic coordinates for a family of conformers for a biomolecular system and links to the experimental conditions and data used to calculate the conformer family.
category_group,force_constants,Categories that describe the values for the force constants used in calculating a family of conformers for a biomolecular system.
category_group,angular_order_parameters,Categories that capture a set of angular order parameters calculated from a family of conformers.
category_group,tertiary_struct_elements,Categories that describe the tertiary structure elements found in the conformers calculated for a biomolecular system. 
category_group,structure_annotation,Categories that describe annotations derived from PDB structure entries related to the BMRB entry and extracted from an external database or calculated by BMRB.
category_group,secondary_structs,Categories that describe the secondary structure elements found in the conformers calculated for a biomolecular system.
category_group,bond_annotation,Categories that capture annotations for the bonds found in the conformers calculated for a biomolecular system.
category_group,structure_interactions,Categories that describe the interactions between molecules in a biomolecular system that have been found through the analysis of the calculated conformers.
category_group,other_struct_features,Categories that provide a means for describing other structure features not specifically defined in other category groups.
category_group,tensor,Categories that describe the chemical shielding tensors for a theoretical chemical shift calculation.
category_group,interatomic_distance,Categories that describe a set of interatomic distances in a molecular assembly.
category_group,general_distance_constraints,Categories that capture the distance constraints in a simple table format used to calculate one or more conformers for a biomolecular system.
category_group,distance_constraints,Categories that capture the distance constraints used to calculate one or more conformers for a biomolecular system.
category_group,floating_chiral_stereo_assign,Categories that capture the floating chirality stereo assignments used in calculating the conformers for a biomolecular system.
category_group,torsion_angle_constraints,Categories that capture the torsion angle distance constraints used to calculate one or more conformers for a biomolecular system.
category_group,RDC_constraints,Categories that capture the residual dipolar coupling constraints used to calculate one or more conformers for a biomolecular system.
category_group,J_three_bond_constraints,Categories that capture the three bond scalar coupling constraints used to calculate one or more conformers for a biomolecular system.
category_group,CA_CB_chem_shift_constraints,Categories that capture the protein CA and CB chemical shift constraints used to calculate one or more conformers for a biomolecular system.
category_group,H_chem_shift_constraints,Categories that capture the proton chemical shift constraints used to calculate one or more conformers for a biomolecular system.
category_group,peak_constraint_links,Categories that provide links between constraints and the experimental data used to derive the constraints.
category_group,SAXS_constraints,Categories that capture the SAXS constraints used to calculate one or more conformers for a biomolecular system.
category_group,other_constraints,Categories that capture values for other kinds of constraints not specifically defined in other category groups used to calculate one or more conformers for a biomolecular system.
category_group,org_constr_file_comment,Categories that capture the comments extracted from one or more original constraint files.
category_group,MS_MZ_data,Categories that capture the MZ data from a mass spectrometry experiment.
category_group,MS_chromatogram,Categories that capture the data from a MS chromatogram.
category_group,experimental_data_derivation_links,Categories that capture the links between derived data and the source data used in the derivation.
category_group,software_specific_saveframes,Categories that capture a block of text written out by software tools as 'save frames'. A NEF specific data structure used to capture software output that may not meet STAR specifications.
category_group,applied_software,Categories that capture methods and scripts used by software reported in an entry.
category_group,applied_software_history,Categories that capture the software workflow used to produce the reported data.
item_category,Entry_interview,Items in the entry_interview category capture information from a depositor about the data that is in the entry.
item_category,Deposited_data_files,Items in the deposited_data_files category define the name and syntax for the author deposited atomic coordinate file and flags for the validation and precheck functions.
item_category,Upload_data,Items in the upload_data category define the names and syntax for author deposited files containing quantitative data or other information.
item_category,Study_list,Items in the study_list category define the save frame for the study description.
item_category,Study,Items in the study category define the study of which the entry is a member. 
item_category,Study_keyword,Items in the study_keyword category capture keywords that describe a study of a biomolecular system.
item_category,Study_entry_list,Items in the study_entry_list category define a list of entries that together represent a study of a biomolecular system.
item_category,Entry,Items in the entry category describe an entry.
item_category,Entry_experimental_methods,Items in the entry_experimental_methods list and describe the experimental techniques used to collect the data in the entry.
item_category,Entry_proc_cycle,Items in the entry_proc_cycle category provide information about the processing of an entry.
item_category,Entry_prerelease_seq,Items in the entry_prerelease_seq category capture the sequences in one-letter form of entities that can be released to the public before the release of the full entry.
item_category,Contact_person,Items in the contact_person category capture information about the people that can be contacted to provide answers to questions raised during the annotation and processing of an entry.
item_category,Entry_author,Items in the entry_author category define the names of the authors of an entry.
item_category,SG_project,Items in the SG_project category describe the structural genomics project that is the source of the data in an entry.
item_category,Entry_src,Items in the entry_src category describe the organization that is the source of the data in an entry.
item_category,Struct_keywords,Items in the struct_keywords category define keywords that describe the structure of the biomolecular system reported.
item_category,Data_set,Items in the data_set category define the kinds of data and the number of data sets for each kind of data in the entry.
item_category,Datum,Items in the datum category define the types of datum in the entry and the quantity of each type.
item_category,Release,Items in the release category provide the release history for an entry.
item_category,BMRbig_link,Items in the BMRbig_link category define BMRbig uploads that contain data to be included in a BMRB entry or linked to a BMRB entry.
item_category,Related_entries,Items in the related_entries category provide a list of entries that are related to the present entry. The related entries may or may not be members of a study that includes the present entry.
item_category,Matched_entries,Items in the matched_entries category provide a list of entries from databases that are matched representing that the data in the entries came from the same experimental study and the same publication.
item_category,Auxiliary_files,Items in the auxiliary_files category provide information on a list of files available from BMRB that contain information directly related to the entry (e.g. validation reports$ software scripts$ data in the original format$ and others).
item_category,Audit,Items in the audit category capture information about the internal processing and handling of an entry during annotation and validation.
item_category,Citation,Items in the citation category capture information common to all citations.
item_category,Citation_author,Items in the citation_author category define the authors and the order of the names for a citation.
item_category,Citation_keyword,Items in the citation_keyword category capture keywords that describe the contents of a citation.
item_category,Citation_editor,Items in the citation_editor category define the editors and the order of the names for a citation.
item_category,Reference_list,Items in the reference_list category capture information related to all references listed in the save frame.
item_category,Reference,Items in the reference category define information for each reference in the list.
item_category,Assembly,Items in the assembly category describe the molecular assembly studied.
item_category,Assembly_type,Items in the assembly_type category describe the kind of assembly studied. These are keywords that are specific to a description of the assembly in terms of the types and number of components that make up the assembly.
item_category,Entity_assembly,Items in the entity_assembly category identify each molecule in the molecular assembly.
item_category,Bond,Items in the bond category define a unique identifier for each bond in the molecular assembly.
item_category,Entity_deleted_atom,Items in the entity_deleted_atom category define the atoms that are deleted from molecular entities when intermolecular bonds are formed to construct the molecular assembly.
item_category,Struct_asym,Data items in the struct_asym category record details about the structural elements in the asymmetric unit.
item_category,Assembly_db_link,Items in the assembly_db_link category capture information about databases and accession codes of entries related to the molecular assembly.
item_category,Assembly_common_name,Items in the assembly_common_name category define common names associated with the molecular assembly.
item_category,Assembly_systematic_name,Items in the assembly_systematic_name category capture systematic naming systems and the systematic name for the molecular assembly.
item_category,Assembly_interaction,Items in the assembly_interaction category capture information about the types of interactions between components of the molecular assembly.
item_category,Chem_comp_assembly,Items in the chem_comp_assembly category provide chemical component level nomenclature and mappings across both biopolymer and non-polymer components of the molecular assembly.
item_category,PDBX_poly_seq_scheme,Items in the PDBX_poly_seq_scheme category provide residue level nomenclature mapping for polymer entities.
item_category,PDBX_nonpoly_scheme,Items in the PDBX_nonpoly_scheme category provide residue level nomenclature mapping for non-polymer entities.
item_category,Atom_type,Items in the atom_type category describe atoms from the periodic table.
item_category,Atom,Items in the atom category provide atom level nomenclature and mappings for polymer and non-polymer components in the molecular assembly.
item_category,Assembly_bio_function,Items in the assembly_bio_function category describe the biological functions carried out by a molecular assembly.
item_category,Angle,Items in the angle category define a unique identifier for each angle described by three linked atoms in the molecular assembly.
item_category,Torsion_angle,Items in the torsion_angle category define a unique identifier for each torsion angle in the molecular assembly.
item_category,Assembly_segment,Items in the assembly_segment category define at levels from atom to chemical component subsets of the assembly. The subsets may be but are not limited to contiguous atoms or components of the assembly. As an example$ the active site of a molecular assembly could be defined as a segment.
item_category,Assembly_segment_description,Items in the assembly_segment_description category provide a description of an assembly segment.
item_category,Assembly_keyword,Items in the assembly_keyword category provide keywords describing the molecular system.
item_category,Assembly_citation,Items in the assembly_citation category provide a pointer to a citation where the molecular assembly is described.
item_category,Assembly_annotation_list,Items in the assembly_annotation list category provide details about the author provided annoations describing the molecular assembly studied.
item_category,Author_annotation,Items in the assembly_annotation category define the author supplied annotations that describe the molecular assembly studied.
item_category,Assembly_subsystem,Items in the assembly_subsystem category describe the molecule(s) in an assembly that together make up a subset that has structural or functional significance.
item_category,Subsystem_common_name,Items in the subsystem_common_name category define the name(s) provided by the author or found in the literature for a defined subsystem of a molecular assembly.
item_category,Subsystem_type,Items in the subsystem_type category define the type(s) of the subsystem.
item_category,Subsystem_component,Items in the subsystem_component define the elements of the full molecular assembly that are members of the subsystem.
item_category,Subsystem_keyword,Items in the subsystem_keyword category define keywords that describe a subsystem of the molecular assembly.
item_category,Subsystem_biological_function,Items in the subsystem_biological_function category define the biological functions that the subsystem of the molecular assembly carry out.
item_category,Subsystem_db_link,Items in the subsystem_db_link category define databases and the entries in the databases that are related to the subsystem of the molecular assembly.
item_category,Subsystem_citation,Items in the subsystem_citation category define the pointers to citations provided in the entry that describe the subsystem of the molecular assembly or other relevant information.
item_category,Entity,Items in the entity category describe the characteristics of a molecular entity (protein$ nucleic acid$ polycarbohydrate$ cofactor$ ligand$ inhibitor$ etc.)
item_category,Entity_db_link,Items in the entity_db_link provide the names of databases and accession numbers for entries in the databases that are related to a molecular entity and information about the link entry.
item_category,Entity_biological_function,Items in the entity_biological_function category describe the biological function of the molecular entity.
item_category,Entity_common_name,Items in the entity_common_name category provide a list of common names for the molecular entity.
item_category,Entity_systematic_name,Items in the entity_systematic_name category provide a list of systematic names for a molecular entity and the systematic naming system.
item_category,Entity_keyword,Items in the entity_keyword category provide a list of keywords that describe a molecular entity.
item_category,Entity_comp_index,Items in the entity_comp_index category provide a consistent numbering system for the moieties (amino acid residues$ nucleotides$ monosaccharides$ or other chemical components) that are linked together through chemical bonds to form either a polymer or a non-polymer entity.
item_category,Entity_poly_seq,Data items in the entity_poly_seq category specify the sequence of monomers in a polymer. Allowance is made for the possibility of microheterogeneity in a sample by allowing a given sequence number to be correlated with more than one monomer ID. The corresponding ATOM_SITE entries should reflect this heterogeneity.
item_category,Entity_chimera_segment,Items in the entity_chimera_segment category describe the beginning and ending points of the two segments of a biopolymer that form the hybrid biopolymer. 
item_category,Entity_comp_index_alt,Items in the entity_comp_index_alt category define an alternate residue numbering scheme for the an entity.
item_category,Entity_atom_list,Items in the entity_atom_list define the names of the atoms that exist in the entity.
item_category,Entity_chem_comp_deleted_atom,Items in the entity_chem_comp_deleted_atom define atoms commonly found in residues and ligands that are deleted and not found in the entity.
item_category,Entity_bond,Items in the entity_bond category define chemical bonds that are unique to the entity.
item_category,Entity_citation,Items in the entity_citation category provide pointers to citations save frames where citations that describe the entity are defined.
item_category,Entity_natural_src_list,Items in the entity_natural_src_list category define an entity natural source save frame.
item_category,Entity_natural_src,Items in the entity_natural_src category describe the organism$ virus$ or other naturally occurring object that is the original source for a molecular entity or a major portion of a molecular entity.
item_category,Natural_source_db,Items in the natural_source_db category define links to databases that contain information about the organisms and entities that are the natural source for molecular entities.
item_category,Entity_experimental_src_list,Items in the entity_experimental_src_list category define an entity experimental source save frame.
item_category,Entity_experimental_src,Items in the entity_experimental_src category describe the biological system or other means used to produce a molecular entity for experimental purposes.
item_category,Chem_comp,Items in the chem_comp category describe the chemical components that make up a molecular entity.
item_category,Chem_comp_common_name,Items in the chem_comp_common_name category provide a list of common names for a chemical component.
item_category,Chem_comp_bio_function,Items in the chem_comp_bio_function category provide a list of biological functions for the chemical component.
item_category,Chem_struct_descriptor,Items in the chem_struct_descriptor category define chemical structures that exist in the chemical component.
item_category,Chem_comp_descriptor,Data items in the chem_comp_descriptor category provide string descriptors of component chemical structure.
item_category,Chem_comp_identifier,Data items in the chem_comp_identifier category provide identifiers for chemical components.
item_category,Chem_comp_systematic_name,Items in the chem_comp_systematic_name category provide a list of systematic names for a chemical component and define the systematic naming systems.
item_category,Chem_comp_SMILES,Items in the chem_comp_SMILES category define a SMILES string for a chemical component and the type of SMILES string that is provided.
item_category,Chem_comp_keyword,Items in the chem_comp_keyword category provide a list of keywords that describe a chemical component.
item_category,PDBX_chem_comp_feature,Items in the PDBX_chem_comp_feature category define various properties of the chemical component.
item_category,Characteristic,Items in the characteristics category define specific physical characteristics for a chemical component and links to the source of the information.
item_category,Chem_comp_atom,Items in the chem_comp_atom category define the atoms in a chemical component$ the name for each atom$ and characteristics of each atom in the chemical component.
item_category,Atom_nomenclature,Items in the atom_nomenclature category define alternative atom nomenclature for the atoms in a chemical compound.
item_category,Chem_comp_bond,Items in the chem_comp_bond category define the chemical bonds in a chemical component.
item_category,Chem_comp_tor,Items in the chem_comp_tor category define the torsion angles in a chemical component.
item_category,Chem_comp_angle,Items in the chem_comp_angle category define the two bond angles in a chemical component.
item_category,Chem_comp_db_link,Items in the chem_comp_db_link category provide the names of databases and accession numbers for entries in the databases that are related to a chemical component and information about the linked entry.
item_category,Chem_comp_citation,Items in the chem_comp_citation category provide pointers to the citations category where information defining citations that describe a chemical component can be found.
item_category,Sample,Items in the sample category describe the characteristics of the samples used to collect experimental data.
item_category,Sample_component,Items in the sample_component category define the components of a sample$ their concentration in the sample$ and the isotopic labeling for the component.
item_category,Sample_component_atom_isotope,Items in the sample_component_atom_isotope category provide information about the isotopic labeling of individual atom in a component of a sample when complex patterns of selective isotopic labeling are used.
item_category,Sample_citation,Items in the sample_citation category provide links to the citations category where reference citations with information about a sample or its preparation can be found.
item_category,Sample_condition_list,Items in the sample_conditions_list define a unique set of sample conditions.
item_category,Sample_condition_variable,Items in the sample_condition_variable category define specific sample conditions like temperature or pH and the values for the sample conditions used in collecting experimental data.
item_category,Sample_condition_citation,Items in the sample_condition_citation category provide links to the citations category where reference citations with information about a set of sample conditions and their use can be found.
item_category,Entity_purity_list,Items in the entity_purity_list category define a unique set of information about the purity of molecular entities in samples used to collect experimental data.
item_category,Entity_purity,Items in the entity_purity category define the purity of a molecular entity in a sample.
item_category,Entity_purity_citation,Items in the entity_purity_citation provide links to the citations category where literature references can be found.
item_category,Software,Items in the software category describe software applications.
item_category,Vendor,Items in the vendor category define from whom a software application can be obtained.
item_category,Task,Items in the task category describe the tasks the software performed.
item_category,Software_citation,Items in the software_citation category provide links to the citations category where literature references describing the software can be found.
item_category,Method,Items in the method category provide meta data about the reported method.
item_category,Method_file,Items in the method_file category provide information regarding external files that contain the reported method.
item_category,Method_param,Items in the method_parameter category provide information regarding an external file that contains the parameters for the reported method.
item_category,Method_citation,Items in the method_citation category provide pointers to the citations where the method is described.
item_category,Mass_spec,Items in the mass_spec category provide meta information about the mass spectrometer described.
item_category,Mass_spec_config,Items in the mass_spec_config category define the configuration details for a mass spectrometer.
item_category,Mass_spec_component_param,Items in the mass_spec_component_param category describe parameters associated with individual components of the mass spectrometer.
item_category,Mass_spec_software,Items in the mass_spec_software pointer a software tool associated with the mass spectrometer.
item_category,Mass_spec_citation,Items in the mass_spec_citation category provide pointers to citations where the mass spectrometer is described.
item_category,Mass_spectrometer_list,Items in the mass_spectrometer_list category provide meta information regarding the reported list of mass spectrometers.
item_category,Mass_spectrometer_view,Items in the mass_spectrometer_view category provide the characteristics of mass spectrometers used to collect data reported in an entry.
item_category,Mass_spec_ref_compd_set,Items in the mass_spec_ref_compd_set category provide meta data regarding a set of reference compounds used in carrying out mass spectrometry experiments.
item_category,Mass_spec_ref_compd,Items in the mass_spec_ref_compd category records information about the compounds used as references in a mass spectrometry experiment.
item_category,Chromatographic_system,Items in the chromatographic_system category record the information describing a chromatographic system used in separating chemical compounds.
item_category,Chromatographic_column,Items in the chromatographic_column category record the characteristics of a column used in a chromatographic system for separating chemical compounds.
item_category,Fluorescence_instrument,Items in the fluorescence_instrument category provide meta information about the fluorescence instrument described.
item_category,EMR_instrument,Items in the EMR_instrument category provide meta information about the EMR instrument described.
item_category,Xray_instrument,Items in the Xray_instrument category provide meta information about the X-ray instrument described.
item_category,NMR_spectrometer,Items in the NMR_spectrometer category describe an NMR spectrometer used to collect experimental data.
item_category,NMR_spectrometer_citation,Items in the NMR_spectrometer_citation category provide links to the citations category where literature references describing an NMR spectrometer can be found.
item_category,NMR_spectrometer_list,Items in the NMR_spectrometer_list category define a set of NMR spectrometers and their descriptions.
item_category,NMR_spectrometer_view,Items in the NMR_spectrometer_view category provide a list of NMR spectrometers and descriptions for each spectrometer in the list.
item_category,NMR_spectrometer_probe,Items in the NMR_spectrometer_probe category describe an NMR spectrometer probe.
item_category,NMR_probe,Items in the NMR_probe category describe the type of probe.
item_category,NMR_spectrometer_probe_citation,Items in the NMR_spectrometer_probe_citation category provide pointers to the citations category.
item_category,Experiment_list,Items in the experiment_list category provide meta data about a set of experiments used to collect the data provided in an entry.
item_category,Experiment,Items in the experiment category define the experiments carried out and the samples$ sample conditions$ and if relevant NMR spectrometer used in the experiment.
item_category,Experiment_file,Items in the experiment_file category provide the name of a file containing information for an experiment and the contents of the file.
item_category,NMR_spec_expt,Items in the NMR_spec_expt category provide detailed information about an NMR spectrometer experiment.
item_category,NMR_expt_systematic_name,Items in the NMR_expt_systematic_name category provide a name for an NMR experiment that is derived from a systematic naming system and the system used.
item_category,NMR_experiment_file,Items in the NMR_experiment_file category define the electronic files used to carry out or produced by an NMR spectrometer experiment.
item_category,Spectral_acq_param,Items in the spectra_acq_param category define the acquisition parameters used in collecting the data in an NMR experiment.
item_category,Recoupling_pulse_sequence,Items in the recoupling_pulse_sequence category define the parameters of a solid-state NMR pulse sequence used to recouple the magnetization between nuclei.
item_category,Decoupling_pulse_sequence,Items in the decoupling_pulse_sequence category define the parameters of a NMR pulse sequence used to decouple the magnetization between nuclei.
item_category,NMR_experiment_citation,Items in the NMR_experiment_citation category define pointers to citations described in an entry that provide information about the NMR experiment.
item_category,NMR_spectral_processing,Items in the NMR_spectral_processing category define the parameters used in converting the time-domain data from an NMR experiment into frequency domain data or other forms of information.
item_category,NMR_spectral_proc_software,Items in the NMR_spectral_proc_software category provide pointers to software save frames where the software application(s) used to process the spectral data are described.
item_category,Spectral_processing_param,Items in the spectral_processing_param category describe the software parameters used in converting the raw spectral data into the fully processed spectrum.
item_category,MS_expt,Items in the MS_expt category provide detailed information on a mass spec experiment.
item_category,MS_expt_param,Items in the MS_expt_param category capture details about the parameters used to carry out a mass spec experiment.
item_category,MS_expt_software,Items in the MS_expt_software category provide details on the software used in carring out a mass spec experiment.
item_category,FRET_expt,Items in the FRET_expt category provide detailed information on a fluorescence resonance energy transfer experiment.
item_category,EMR_expt,Items in the EMR_expt category provide detailed information on an electron magnetic resonance experiment.
item_category,SAXS_expt,Items in the SAXS_expt category provide detailed information on a small angle X-ray scattering experiment.
item_category,Computer,Items in the computer category describe a computer.
item_category,Computer_citation,Items in the computer_citation category provide pointers to the citation category.
item_category,Computing_platform,Items in the computing_platform describe a computing platform such as cluster used for processing data.
item_category,Chem_shift_reference,Items in the chem_shift_reference category define a set of chemical shift referencing parameters.
item_category,Chem_shift_ref,Items in the chem_shift_ref category provide the chemical shift referencing values used in assigning the chemical shift positions for peaks in spectral peak lists and assigned atom chemical shifts.
